品种,合约代码,交易单位,最小变动价,开始交易日,最后交易日,最后交割日
豆一,a0303,10,1,20020315,20030314,20030321
豆一,a0305,10,1,20020315,20030523,20030530
豆一,a0307,10,1,20020315,20030714,20030721
豆一,a0309,10,1,20020522,20030912,20030919
豆一,a0311,10,1,20020522,20031114,20031121
豆一,a0401,10,1,20020715,20040115,20040129
豆一,a0403,10,1,20020916,20040312,20040319
豆一,a0405,10,1,20021115,20040521,20040528
豆一,a0407,10,1,20030116,20040714,20040721
豆一,a0409,10,1,20030317,20040914,20040921
豆一,a0411,10,1,20030526,20041112,20041119
豆一,a0501,10,1,20030715,20050117,20050124
豆一,a0503,10,1,20030915,20050314,20050321
豆一,a0505,10,1,20031117,20050520,20050527
豆一,a0507,10,1,20040116,20050714,20050721
豆一,a0509,10,1,20040315,20050914,20050921
豆一,a0511,10,1,20040524,20051114,20051121
豆一,a0601,10,1,20040715,20060117,20060124
豆一,a0603,10,1,20040915,20060314,20060321
豆一,a0605,10,1,20041115,20060519,20060526
豆一,a0607,10,1,20050118,20060714,20060721
豆一,a0609,10,1,20050315,20060914,20060921
豆一,a0611,10,1,20050523,20061114,20061121
豆一,a0701,10,1,20050715,20070117,20070124
豆一,a0703,10,1,20050915,20070314,20070321
豆一,a0705,10,1,20051115,20070521,20070528
豆一,a0707,10,1,20060118,20070713,20070720
豆一,a0709,10,1,20060315,20070914,20070921
豆一,a0711,10,1,20060522,20071114,20071121
豆一,a0801,10,1,20060717,20080115,20080122
豆一,a0803,10,1,20060915,20080314,20080321
豆一,a0805,10,1,20061115,20080516,20080523
豆一,a0807,10,1,20070118,20080714,20080721
豆一,a0809,10,1,20070315,20080912,20080919
豆一,a0811,10,1,20070522,20081114,20081121
豆一,a0901,10,1,20070716,20090116,20090123
豆一,a0903,10,1,20070917,20090313,20090320
豆一,a0905,10,1,20071115,20090515,20090522
豆一,a0907,10,1,20080116,20090714,20090721
豆一,a0909,10,1,20080317,20090914,20090921
豆一,a0911,10,1,20080519,20091113,20091120
豆一,a1001,10,1,20080715,20100115,20100122
豆一,a1003,10,1,20080916,20100312,20100319
豆一,a1005,10,1,20081117,20100517,20100524
豆一,a1007,10,1,20090119,20100714,20100721
豆一,a1009,10,1,20090316,20100914,20100921
豆一,a1011,10,1,20090518,20101112,20101119
豆一,a1101,10,1,20090715,20110117,20110124
豆一,a1103,10,1,20090915,20110314,20110321
豆一,a1105,10,1,20091116,20110516,20110523
豆一,a1107,10,1,20100118,20110714,20110721
豆一,a1109,10,1,20100315,20110915,20110922
豆一,a1111,10,1,20100518,20111114,20111121
豆一,a1201,10,1,20100715,20120117,20120130
豆一,a1203,10,1,20100915,20120314,20120321
豆一,a1205,10,1,20101115,20120515,20120522
豆一,a1207,10,1,20110118,20120713,20120720
豆一,a1209,10,1,20110315,20120914,20120921
豆一,a1211,10,1,20110517,20121114,20121121
豆一,a1301,10,1,20110715,20130117,20130124
豆一,a1303,10,1,20110916,20130314,20130321
豆一,a1305,10,1,20111115,20130515,20130522
豆一,a1307,10,1,20120118,20130712,20130719
豆一,a1309,10,1,20120315,20130913,20130923
豆一,a1311,10,1,20120516,20131114,20131121
豆一,a1401,10,1,20120716,20140115,20140122
豆一,a1403,10,1,20120917,20140314,20140321
豆一,a1405,10,1,20121115,20140516,20140523
豆一,a1407,10,1,20130118,20140714,20140721
豆一,a1409,10,1,20130315,20140915,20140918
豆一,a1411,10,1,20130516,20141114,20141119
豆一,a1501,10,1,20130715,20150116,20150121
豆一,a1503,10,1,20130916,20150313,20150318
豆一,a1505,10,1,20131115,20150515,20150520
豆一,a1507,10,1,20140116,20150714,20150717
豆一,a1509,10,1,20140317,20150916,20150921
豆一,a1511,10,1,20140519,20151113,20151118
豆一,a1601,10,1,20140715,20160115,20160120
豆一,a1603,10,1,20140916,20160314,20160317
豆一,a1605,10,1,20141117,20160516,20160519
豆一,a1607,10,1,20150119,20160714,20160719
豆一,a1609,10,1,20150316,20160914,20160921
豆一,a1611,10,1,20150518,20161114,20161117
豆一,a1701,10,1,20150715,20170116,20170119
豆一,a1703,10,1,20150917,20170314,20170317
豆一,a1705,10,1,20151116,20170515,20170518
豆一,a1707,10,1,20160118,20170714,20170719
豆一,a1709,10,1,20160315,20170914,20170919
豆一,a1711,10,1,20160517,20171114,20171117
豆一,a1801,10,1,20160715,20180115,20180118
豆一,a1803,10,1,20160919,20180314,20180319
豆一,a1805,10,1,20161115,20180515,20180518
豆一,a1807,10,1,20170117,20180713,20180718
豆一,a1809,10,1,20170315,20180914,20180919
豆一,a1811,10,1,20170516,20181114,20181119
豆一,a1901,10,1,20170717,20190115,20190118
豆一,a1903,10,1,20170915,20190314,20190319
豆一,a1905,10,1,20171115,20190517,20190522
豆一,a1907,10,1,20180116,20190712,20190717
豆一,a1909,10,1,20180315,20190916,20190919
豆一,a1911,10,1,20180516,20191114,20191119
豆一,a2001,10,1,20180716,20200115,20200120
豆一,a2003,10,1,20190315,20200313,20200318
豆一,a2005,10,1,20190520,20200515,20200520
豆一,a2007,10,1,20190715,20200714,20200717
豆一,a2009,10,1,20190917,20200914,20200917
豆二,b0503,10,1,20041222,20050314,20050317
豆二,b0505,10,1,20041222,20050520,20050525
豆二,b0507,10,1,20041222,20050714,20050719
豆二,b0509,10,1,20041222,20050914,20050919
豆二,b0511,10,1,20041222,20051114,20051117
豆二,b0601,10,1,20041222,20060117,20060120
豆二,b0603,10,1,20050315,20060314,20060317
豆二,b0605,10,1,20050523,20060519,20060524
豆二,b0607,10,1,20050715,20060714,20060719
豆二,b0609,10,1,20051010,20060914,20060919
豆二,b0611,10,1,20051115,20061114,20061117
豆二,b0701,10,1,20060118,20070117,20070122
豆二,b0703,10,1,20060315,20070314,20070319
豆二,b0705,10,1,20060522,20070521,20070524
