keyword,type,date,index
大豆油,all,2011-01-01,195
大豆油,pc,2011-01-01,211
大豆油,wise,2011-01-01,0
大豆油,all,2011-01-01,170
大豆油,pc,2011-01-01,198
大豆油,wise,2011-01-01,0
大豆油,all,2011-01-01,152
大豆油,pc,2011-01-01,144
大豆油,wise,2011-01-01,0
大豆油,all,2011-01-01,275
大豆油,pc,2011-01-01,155
大豆油,wise,2011-01-01,112
大豆油,all,2011-01-02,297
大豆油,pc,2011-01-02,142
大豆油,wise,2011-01-02,131
大豆油,all,2011-01-03,302
大豆油,pc,2011-01-03,99
大豆油,wise,2011-01-03,100
大豆油,all,2011-01-04,319
大豆油,pc,2011-01-04,142
大豆油,wise,2011-01-04,100
大豆油,all,2011-01-05,333
大豆油,pc,2011-01-05,150
大豆油,wise,2011-01-05,118
大豆油,all,2011-01-06,343
大豆油,pc,2011-01-06,158
大豆油,wise,2011-01-06,106
大豆油,all,2011-01-07,297
大豆油,pc,2011-01-07,163
大豆油,wise,2011-01-07,99
大豆油,all,2011-01-08,315
大豆油,pc,2011-01-08,150
大豆油,wise,2011-01-08,121
大豆油,all,2011-01-09,311
大豆油,pc,2011-01-09,129
大豆油,wise,2011-01-09,118
大豆油,all,2011-01-10,341
大豆油,pc,2011-01-10,108
大豆油,wise,2011-01-10,110
大豆油,all,2011-01-11,362
大豆油,pc,2011-01-11,195
大豆油,wise,2011-01-11,122
大豆油,all,2011-01-12,365
大豆油,pc,2011-01-12,155
大豆油,wise,2011-01-12,115
大豆油,all,2011-01-13,361
大豆油,pc,2011-01-13,197
大豆油,wise,2011-01-13,138
大豆油,all,2011-01-14,364
大豆油,pc,2011-01-14,202
大豆油,wise,2011-01-14,122
大豆油,all,2011-01-15,297
大豆油,pc,2011-01-15,226
大豆油,wise,2011-01-15,96
大豆油,all,2011-01-16,303
大豆油,pc,2011-01-16,180
大豆油,wise,2011-01-16,126
大豆油,all,2011-01-17,346
大豆油,pc,2011-01-17,195
大豆油,wise,2011-01-17,93
大豆油,all,2011-01-18,346
大豆油,pc,2011-01-18,219
大豆油,wise,2011-01-18,104
大豆油,all,2011-01-19,358
大豆油,pc,2011-01-19,215
大豆油,wise,2011-01-19,102
大豆油,all,2011-01-20,337
大豆油,pc,2011-01-20,173
大豆油,wise,2011-01-20,108
大豆油,all,2011-01-21,306
大豆油,pc,2011-01-21,208
大豆油,wise,2011-01-21,113
