keyword,type,date,index
棕榈,all,2011-01-01,150
棕榈,pc,2011-01-01,121
棕榈,wise,2011-01-01,0
棕榈,all,2011-01-01,191
棕榈,pc,2011-01-01,135
棕榈,wise,2011-01-01,0
棕榈,all,2011-01-01,327
棕榈,pc,2011-01-01,163
棕榈,wise,2011-01-01,0
棕榈,all,2011-01-01,282
棕榈,pc,2011-01-01,262
棕榈,wise,2011-01-01,73
棕榈,all,2011-01-02,339
棕榈,pc,2011-01-02,243
棕榈,wise,2011-01-02,74
棕榈,all,2011-01-03,375
棕榈,pc,2011-01-03,242
棕榈,wise,2011-01-03,87
棕榈,all,2011-01-04,431
棕榈,pc,2011-01-04,265
棕榈,wise,2011-01-04,87
棕榈,all,2011-01-05,460
棕榈,pc,2011-01-05,281
棕榈,wise,2011-01-05,91
棕榈,all,2011-01-06,417
棕榈,pc,2011-01-06,295
棕榈,wise,2011-01-06,76
棕榈,all,2011-01-07,438
棕榈,pc,2011-01-07,284
棕榈,wise,2011-01-07,86
棕榈,all,2011-01-08,354
棕榈,pc,2011-01-08,229
棕榈,wise,2011-01-08,87
棕榈,all,2011-01-09,364
棕榈,pc,2011-01-09,248
棕榈,wise,2011-01-09,83
棕榈,all,2011-01-10,426
棕榈,pc,2011-01-10,225
棕榈,wise,2011-01-10,74
棕榈,all,2011-01-11,406
棕榈,pc,2011-01-11,290
棕榈,wise,2011-01-11,83
棕榈,all,2011-01-12,430
棕榈,pc,2011-01-12,242
棕榈,wise,2011-01-12,87
棕榈,all,2011-01-13,414
棕榈,pc,2011-01-13,274
棕榈,wise,2011-01-13,84
棕榈,all,2011-01-14,378
棕榈,pc,2011-01-14,282
棕榈,wise,2011-01-14,74
棕榈,all,2011-01-15,293
棕榈,pc,2011-01-15,253
棕榈,wise,2011-01-15,73
棕榈,all,2011-01-16,289
棕榈,pc,2011-01-16,219
棕榈,wise,2011-01-16,74
棕榈,all,2011-01-17,379
棕榈,pc,2011-01-17,205
棕榈,wise,2011-01-17,74
棕榈,all,2011-01-18,360
棕榈,pc,2011-01-18,276
棕榈,wise,2011-01-18,86
棕榈,all,2011-01-19,338
棕榈,pc,2011-01-19,271
棕榈,wise,2011-01-19,82
棕榈,all,2011-01-20,355
棕榈,pc,2011-01-20,285
棕榈,wise,2011-01-20,70
棕榈,all,2011-01-21,371
棕榈,pc,2011-01-21,307
棕榈,wise,2011-01-21,73
棕榈,all,2011-01-22,305
棕榈,pc,2011-01-22,282
棕榈,wise,2011-01-22,74
棕榈,all,2011-01-23,274
棕榈,pc,2011-01-23,225
棕榈,wise,2011-01-23,79
棕榈,all,2011-01-24,348
棕榈,pc,2011-01-24,265
棕榈,wise,2011-01-24,74
棕榈,all,2011-01-25,322
棕榈,pc,2011-01-25,341
棕榈,wise,2011-01-25,79
棕榈,all,2011-01-26,346
棕榈,pc,2011-01-26,237
棕榈,wise,2011-01-26,96
棕榈,all,2011-01-27,297
棕榈,pc,2011-01-27,296
棕榈,wise,2011-01-27,79
棕榈,all,2011-01-28,286
棕榈,pc,2011-01-28,273
棕榈,wise,2011-01-28,78
棕榈,all,2011-01-29,253
棕榈,pc,2011-01-29,262
棕榈,wise,2011-01-29,74
棕榈,all,2011-01-30,266
棕榈,pc,2011-01-30,229
棕榈,wise,2011-01-30,83
棕榈,all,2011-01-31,277
棕榈,pc,2011-01-31,187
棕榈,wise,2011-01-31,91
棕榈,all,2011-02-01,250
棕榈,pc,2011-02-01,274
棕榈,wise,2011-02-01,92
棕榈,all,2011-02-02,210
棕榈,pc,2011-02-02,290
棕榈,wise,2011-02-02,73
棕榈,all,2011-02-03,234
棕榈,pc,2011-02-03,259
棕榈,wise,2011-02-03,76
棕榈,all,2011-02-04,247
棕榈,pc,2011-02-04,315
棕榈,wise,2011-02-04,79
棕榈,all,2011-02-05,255
棕榈,pc,2011-02-05,291
棕榈,wise,2011-02-05,86
棕榈,all,2011-02-06,281
棕榈,pc,2011-02-06,239
棕榈,wise,2011-02-06,87
棕榈,all,2011-02-07,260
棕榈,pc,2011-02-07,239
棕榈,wise,2011-02-07,80
棕榈,all,2011-02-08,276
棕榈,pc,2011-02-08,318
棕榈,wise,2011-02-08,82
棕榈,all,2011-02-09,314
棕榈,pc,2011-02-09,307
棕榈,wise,2011-02-09,74
棕榈,all,2011-02-10,391
棕榈,pc,2011-02-10,282
棕榈,wise,2011-02-10,87
棕榈,all,2011-02-11,399
棕榈,pc,2011-02-11,298
棕榈,wise,2011-02-11,92
棕榈,all,2011-02-12,365
棕榈,pc,2011-02-12,291
棕榈,wise,2011-02-12,89
棕榈,all,2011-02-13,349
棕榈,pc,2011-02-13,237
棕榈,wise,2011-02-13,95
棕榈,all,2011-02-14,421
棕榈,pc,2011-02-14,243
棕榈,wise,2011-02-14,78
棕榈,all,2011-02-15,434
棕榈,pc,2011-02-15,338
棕榈,wise,2011-02-15,102
棕榈,all,2011-02-16,426
