keyword,type,date,index
棕榈树,all,2011-01-01,123
棕榈树,pc,2011-01-01,112
棕榈树,wise,2011-01-01,0
棕榈树,all,2011-01-01,208
棕榈树,pc,2011-01-01,150
棕榈树,wise,2011-01-01,0
棕榈树,all,2011-01-01,201
棕榈树,pc,2011-01-01,183
棕榈树,wise,2011-01-01,0
棕榈树,all,2011-01-01,214
棕榈树,pc,2011-01-01,201
棕榈树,wise,2011-01-01,70
棕榈树,all,2011-01-02,228
棕榈树,pc,2011-01-02,163
棕榈树,wise,2011-01-02,74
棕榈树,all,2011-01-03,264
棕榈树,pc,2011-01-03,173
棕榈树,wise,2011-01-03,69
棕榈树,all,2011-01-04,280
棕榈树,pc,2011-01-04,161
棕榈树,wise,2011-01-04,69
棕榈树,all,2011-01-05,249
棕榈树,pc,2011-01-05,200
棕榈树,wise,2011-01-05,67
棕榈树,all,2011-01-06,244
棕榈树,pc,2011-01-06,184
棕榈树,wise,2011-01-06,61
棕榈树,all,2011-01-07,263
棕榈树,pc,2011-01-07,184
棕榈树,wise,2011-01-07,69
棕榈树,all,2011-01-08,239
棕榈树,pc,2011-01-08,150
棕榈树,wise,2011-01-08,66
棕榈树,all,2011-01-09,237
棕榈树,pc,2011-01-09,175
棕榈树,wise,2011-01-09,61
棕榈树,all,2011-01-10,274
棕榈树,pc,2011-01-10,173
棕榈树,wise,2011-01-10,69
棕榈树,all,2011-01-11,239
棕榈树,pc,2011-01-11,208
棕榈树,wise,2011-01-11,66
棕榈树,all,2011-01-12,241
棕榈树,pc,2011-01-12,161
棕榈树,wise,2011-01-12,61
棕榈树,all,2011-01-13,234
棕榈树,pc,2011-01-13,163
棕榈树,wise,2011-01-13,66
棕榈树,all,2011-01-14,229
棕榈树,pc,2011-01-14,183
棕榈树,wise,2011-01-14,67
棕榈树,all,2011-01-15,220
棕榈树,pc,2011-01-15,184
棕榈树,wise,2011-01-15,70
棕榈树,all,2011-01-16,240
棕榈树,pc,2011-01-16,183
棕榈树,wise,2011-01-16,65
棕榈树,all,2011-01-17,228
棕榈树,pc,2011-01-17,170
棕榈树,wise,2011-01-17,66
棕榈树,all,2011-01-18,253
棕榈树,pc,2011-01-18,201
棕榈树,wise,2011-01-18,67
棕榈树,all,2011-01-19,239
棕榈树,pc,2011-01-19,218
棕榈树,wise,2011-01-19,63
棕榈树,all,2011-01-20,235
棕榈树,pc,2011-01-20,188
棕榈树,wise,2011-01-20,67
棕榈树,all,2011-01-21,249
棕榈树,pc,2011-01-21,201
棕榈树,wise,2011-01-21,67
棕榈树,all,2011-01-22,233
棕榈树,pc,2011-01-22,200
棕榈树,wise,2011-01-22,74
棕榈树,all,2011-01-23,230
棕榈树,pc,2011-01-23,168
棕榈树,wise,2011-01-23,67
