keyword,type,date,index
棕榈油,all,2011-01-01,333
棕榈油,pc,2011-01-01,175
棕榈油,wise,2011-01-01,0
棕榈油,all,2011-01-01,372
棕榈油,pc,2011-01-01,313
棕榈油,wise,2011-01-01,0
棕榈油,all,2011-01-01,361
棕榈油,pc,2011-01-01,338
棕榈油,wise,2011-01-01,0
棕榈油,all,2011-01-01,383
棕榈油,pc,2011-01-01,324
棕榈油,wise,2011-01-01,141
棕榈油,all,2011-01-02,435
棕榈油,pc,2011-01-02,237
棕榈油,wise,2011-01-02,136
棕榈油,all,2011-01-03,583
棕榈油,pc,2011-01-03,240
棕榈油,wise,2011-01-03,161
棕榈油,all,2011-01-04,718
棕榈油,pc,2011-01-04,344
棕榈油,wise,2011-01-04,155
棕榈油,all,2011-01-05,748
棕榈油,pc,2011-01-05,352
棕榈油,wise,2011-01-05,205
棕榈油,all,2011-01-06,811
棕榈油,pc,2011-01-06,313
棕榈油,wise,2011-01-06,189
棕榈油,all,2011-01-07,727
棕榈油,pc,2011-01-07,310
棕榈油,wise,2011-01-07,197
棕榈油,all,2011-01-08,566
棕榈油,pc,2011-01-08,310
棕榈油,wise,2011-01-08,158
棕榈油,all,2011-01-09,535
棕榈油,pc,2011-01-09,237
棕榈油,wise,2011-01-09,155
棕榈油,all,2011-01-10,708
棕榈油,pc,2011-01-10,205
棕榈油,wise,2011-01-10,179
棕榈油,all,2011-01-11,671
棕榈油,pc,2011-01-11,305
棕榈油,wise,2011-01-11,170
棕榈油,all,2011-01-12,792
棕榈油,pc,2011-01-12,341
棕榈油,wise,2011-01-12,179
棕榈油,all,2011-01-13,723
棕榈油,pc,2011-01-13,313
棕榈油,wise,2011-01-13,228
棕榈油,all,2011-01-14,623
棕榈油,pc,2011-01-14,361
棕榈油,wise,2011-01-14,166
棕榈油,all,2011-01-15,496
棕榈油,pc,2011-01-15,309
棕榈油,wise,2011-01-15,164
棕榈油,all,2011-01-16,511
棕榈油,pc,2011-01-16,236
棕榈油,wise,2011-01-16,159
棕榈油,all,2011-01-17,656
棕榈油,pc,2011-01-17,229
棕榈油,wise,2011-01-17,174
棕榈油,all,2011-01-18,618
棕榈油,pc,2011-01-18,346
棕榈油,wise,2011-01-18,159
棕榈油,all,2011-01-19,553
棕榈油,pc,2011-01-19,346
棕榈油,wise,2011-01-19,136
棕榈油,all,2011-01-20,617
棕榈油,pc,2011-01-20,381
棕榈油,wise,2011-01-20,170
棕榈油,all,2011-01-21,529
棕榈油,pc,2011-01-21,385
棕榈油,wise,2011-01-21,144
棕榈油,all,2011-01-22,445
棕榈油,pc,2011-01-22,397
棕榈油,wise,2011-01-22,144
棕榈油,all,2011-01-23,456
棕榈油,pc,2011-01-23,285
棕榈油,wise,2011-01-23,160
棕榈油,all,2011-01-24,668
棕榈油,pc,2011-01-24,237
棕榈油,wise,2011-01-24,189
棕榈油,all,2011-01-25,612
棕榈油,pc,2011-01-25,414
棕榈油,wise,2011-01-25,158
棕榈油,all,2011-01-26,560
棕榈油,pc,2011-01-26,357
棕榈油,wise,2011-01-26,161
棕榈油,all,2011-01-27,559
棕榈油,pc,2011-01-27,367
棕榈油,wise,2011-01-27,148
棕榈油,all,2011-01-28,508
棕榈油,pc,2011-01-28,433
棕榈油,wise,2011-01-28,139
棕榈油,all,2011-01-29,436
棕榈油,pc,2011-01-29,354
棕榈油,wise,2011-01-29,126
棕榈油,all,2011-01-30,428
棕榈油,pc,2011-01-30,267
棕榈油,wise,2011-01-30,118
棕榈油,all,2011-01-31,392
棕榈油,pc,2011-01-31,242
棕榈油,wise,2011-01-31,158
棕榈油,all,2011-02-01,388
棕榈油,pc,2011-02-01,375
棕榈油,wise,2011-02-01,135
棕榈油,all,2011-02-02,261
棕榈油,pc,2011-02-02,423
棕榈油,wise,2011-02-02,109
棕榈油,all,2011-02-03,313
棕榈油,pc,2011-02-03,395
棕榈油,wise,2011-02-03,138
棕榈油,all,2011-02-04,309
棕榈油,pc,2011-02-04,426
棕榈油,wise,2011-02-04,126
棕榈油,all,2011-02-05,334
棕榈油,pc,2011-02-05,336
棕榈油,wise,2011-02-05,158
棕榈油,all,2011-02-06,395
棕榈油,pc,2011-02-06,304
棕榈油,wise,2011-02-06,145
棕榈油,all,2011-02-07,419
棕榈油,pc,2011-02-07,257
棕榈油,wise,2011-02-07,148
棕榈油,all,2011-02-08,463
棕榈油,pc,2011-02-08,400
棕榈油,wise,2011-02-08,134
棕榈油,all,2011-02-09,679
棕榈油,pc,2011-02-09,400
棕榈油,wise,2011-02-09,152
棕榈油,all,2011-02-10,693
棕榈油,pc,2011-02-10,409
棕榈油,wise,2011-02-10,166
棕榈油,all,2011-02-11,723
棕榈油,pc,2011-02-11,416
棕榈油,wise,2011-02-11,174
棕榈油,all,2011-02-12,622
棕榈油,pc,2011-02-12,440
棕榈油,wise,2011-02-12,154
棕榈油,all,2011-02-13,487
棕榈油,pc,2011-02-13,239
棕榈油,wise,2011-02-13,135
棕榈油,all,2011-02-14,692
棕榈油,pc,2011-02-14,273
棕榈油,wise,2011-02-14,174
棕榈油,all,2011-02-15,660
棕榈油,pc,2011-02-15,459
棕榈油,wise,2011-02-15,158
棕榈油,all,2011-02-16,746
棕榈油,pc,2011-02-16,420
棕榈油,wise,2011-02-16,202
棕榈油,all,2011-02-17,665
棕榈油,pc,2011-02-17,406
棕榈油,wise,2011-02-17,138
棕榈油,all,2011-02-18,622
棕榈油,pc,2011-02-18,448
棕榈油,wise,2011-02-18,155
棕榈油,all,2011-02-19,575
棕榈油,pc,2011-02-19,402
棕榈油,wise,2011-02-19,164
棕榈油,all,2011-02-20,516
棕榈油,pc,2011-02-20,299
棕榈油,wise,2011-02-20,152
棕榈油,all,2011-02-21,947
棕榈油,pc,2011-02-21,305
棕榈油,wise,2011-02-21,252
棕榈油,all,2011-02-22,1023
棕榈油,pc,2011-02-22,499
棕榈油,wise,2011-02-22,224
棕榈油,all,2011-02-23,975
棕榈油,pc,2011-02-23,439
棕榈油,wise,2011-02-23,238
棕榈油,all,2011-02-24,962
棕榈油,pc,2011-02-24,482
棕榈油,wise,2011-02-24,236
棕榈油,all,2011-02-25,766
棕榈油,pc,2011-02-25,400
棕榈油,wise,2011-02-25,212
棕榈油,all,2011-02-26,598
棕榈油,pc,2011-02-26,377
棕榈油,wise,2011-02-26,189
棕榈油,all,2011-02-27,484
棕榈油,pc,2011-02-27,239
棕榈油,wise,2011-02-27,148
棕榈油,all,2011-02-28,826
棕榈油,pc,2011-02-28,284
棕榈油,wise,2011-02-28,280
棕榈油,all,2011-03-01,694
棕榈油,pc,2011-03-01,440
棕榈油,wise,2011-03-01,176
棕榈油,all,2011-03-02,1193
棕榈油,pc,2011-03-02,371
棕榈油,wise,2011-03-02,337
棕榈油,all,2011-03-03,872
棕榈油,pc,2011-03-03,378
棕榈油,wise,2011-03-03,222
棕榈油,all,2011-03-04,757
棕榈油,pc,2011-03-04,366
棕榈油,wise,2011-03-04,202
棕榈油,all,2011-03-05,525
棕榈油,pc,2011-03-05,327
棕榈油,wise,2011-03-05,148
棕榈油,all,2011-03-06,555
棕榈油,pc,2011-03-06,257
棕榈油,wise,2011-03-06,180
棕榈油,all,2011-03-07,765
棕榈油,pc,2011-03-07,253
棕榈油,wise,2011-03-07,201
棕榈油,all,2011-03-08,790
棕榈油,pc,2011-03-08,471
棕榈油,wise,2011-03-08,215
棕榈油,all,2011-03-09,838
棕榈油,pc,2011-03-09,433
棕榈油,wise,2011-03-09,205
棕榈油,all,2011-03-10,850
棕榈油,pc,2011-03-10,453
棕榈油,wise,2011-03-10,174
棕榈油,all,2011-03-11,729
棕榈油,pc,2011-03-11,414
棕榈油,wise,2011-03-11,186
棕榈油,all,2011-03-12,1064
棕榈油,pc,2011-03-12,414
棕榈油,wise,2011-03-12,168
棕榈油,all,2011-03-13,701
棕榈油,pc,2011-03-13,293
棕榈油,wise,2011-03-13,183
棕榈油,all,2011-03-14,829
棕榈油,pc,2011-03-14,222
棕榈油,wise,2011-03-14,196
棕榈油,all,2011-03-15,817
棕榈油,pc,2011-03-15,461
棕榈油,wise,2011-03-15,190
棕榈油,all,2011-03-16,758
棕榈油,pc,2011-03-16,406
棕榈油,wise,2011-03-16,189
棕榈油,all,2011-03-17,726
棕榈油,pc,2011-03-17,473
棕榈油,wise,2011-03-17,166
棕榈油,all,2011-03-18,771
棕榈油,pc,2011-03-18,405
棕榈油,wise,2011-03-18,199
棕榈油,all,2011-03-19,591
棕榈油,pc,2011-03-19,434
棕榈油,wise,2011-03-19,166
棕榈油,all,2011-03-20,562
棕榈油,pc,2011-03-20,288
棕榈油,wise,2011-03-20,167
棕榈油,all,2011-03-21,827
棕榈油,pc,2011-03-21,284
棕榈油,wise,2011-03-21,190
棕榈油,all,2011-03-22,820
棕榈油,pc,2011-03-22,414
棕榈油,wise,2011-03-22,215
棕榈油,all,2011-03-23,897
棕榈油,pc,2011-03-23,383
棕榈油,wise,2011-03-23,202
棕榈油,all,2011-03-24,886
棕榈油,pc,2011-03-24,363
棕榈油,wise,2011-03-24,193
棕榈油,all,2011-03-25,805
棕榈油,pc,2011-03-25,395
棕榈油,wise,2011-03-25,192
棕榈油,all,2011-03-26,590
棕榈油,pc,2011-03-26,355
棕榈油,wise,2011-03-26,164
棕榈油,all,2011-03-27,700
棕榈油,pc,2011-03-27,268
棕榈油,wise,2011-03-27,193
棕榈油,all,2011-03-28,863
棕榈油,pc,2011-03-28,318
棕榈油,wise,2011-03-28,215
棕榈油,all,2011-03-29,965
棕榈油,pc,2011-03-29,355
棕榈油,wise,2011-03-29,196
棕榈油,all,2011-03-30,883
棕榈油,pc,2011-03-30,371
棕榈油,wise,2011-03-30,219
棕榈油,all,2011-03-31,772
棕榈油,pc,2011-03-31,213
棕榈油,wise,2011-03-31,183
棕榈油,all,2011-04-01,764
棕榈油,pc,2011-04-01,268
棕榈油,wise,2011-04-01,200
棕榈油,all,2011-04-02,620
棕榈油,pc,2011-04-02,270
棕榈油,wise,2011-04-02,180
棕榈油,all,2011-04-03,520
棕榈油,pc,2011-04-03,341
棕榈油,wise,2011-04-03,168
棕榈油,all,2011-04-04,562
棕榈油,pc,2011-04-04,402
棕榈油,wise,2011-04-04,221
棕榈油,all,2011-04-05,700
棕榈油,pc,2011-04-05,442
棕榈油,wise,2011-04-05,236
棕榈油,all,2011-04-06,837
棕榈油,pc,2011-04-06,451
棕榈油,wise,2011-04-06,228
棕榈油,all,2011-04-07,912
棕榈油,pc,2011-04-07,433
棕榈油,wise,2011-04-07,205
棕榈油,all,2011-04-08,847
棕榈油,pc,2011-04-08,326
棕榈油,wise,2011-04-08,196
棕榈油,all,2011-04-09,593
棕榈油,pc,2011-04-09,243
棕榈油,wise,2011-04-09,187
棕榈油,all,2011-04-10,546
棕榈油,pc,2011-04-10,239
棕榈油,wise,2011-04-10,177
棕榈油,all,2011-04-11,990
棕榈油,pc,2011-04-11,226
棕榈油,wise,2011-04-11,260
棕榈油,all,2011-04-12,861
棕榈油,pc,2011-04-12,298
棕榈油,wise,2011-04-12,248
棕榈油,all,2011-04-13,768
棕榈油,pc,2011-04-13,326
棕榈油,wise,2011-04-13,221
棕榈油,all,2011-04-14,840
棕榈油,pc,2011-04-14,307
棕榈油,wise,2011-04-14,196
棕榈油,all,2011-04-15,797
棕榈油,pc,2011-04-15,326
棕榈油,wise,2011-04-15,211
棕榈油,all,2011-04-16,598
棕榈油,pc,2011-04-16,439
棕榈油,wise,2011-04-16,195
棕榈油,all,2011-04-17,568
棕榈油,pc,2011-04-17,479
棕榈油,wise,2011-04-17,199
棕榈油,all,2011-04-18,806
棕榈油,pc,2011-04-18,402
棕榈油,wise,2011-04-18,229
棕榈油,all,2011-04-19,881
棕榈油,pc,2011-04-19,614
棕榈油,wise,2011-04-19,197
棕榈油,all,2011-04-20,820
棕榈油,pc,2011-04-20,526
棕榈油,wise,2011-04-20,212
棕榈油,all,2011-04-21,794
棕榈油,pc,2011-04-21,627
棕榈油,wise,2011-04-21,212
棕榈油,all,2011-04-22,832
棕榈油,pc,2011-04-22,611
棕榈油,wise,2011-04-22,221
棕榈油,all,2011-04-23,593
棕榈油,pc,2011-04-23,416
棕榈油,wise,2011-04-23,177
棕榈油,all,2011-04-24,534
棕榈油,pc,2011-04-24,360
棕榈油,wise,2011-04-24,174
棕榈油,all,2011-04-25,780
棕榈油,pc,2011-04-25,591
棕榈油,wise,2011-04-25,189
棕榈油,all,2011-04-26,714
棕榈油,pc,2011-04-26,537
棕榈油,wise,2011-04-26,177
棕榈油,all,2011-04-27,789
棕榈油,pc,2011-04-27,568
棕榈油,wise,2011-04-27,221
棕榈油,all,2011-04-28,657
棕榈油,pc,2011-04-28,495
棕榈油,wise,2011-04-28,162
棕榈油,all,2011-04-29,655
棕榈油,pc,2011-04-29,485
棕榈油,wise,2011-04-29,170
棕榈油,all,2011-04-30,498
棕榈油,pc,2011-04-30,324
棕榈油,wise,2011-04-30,174
棕榈油,all,2011-05-01,441
棕榈油,pc,2011-05-01,267
棕榈油,wise,2011-05-01,174
棕榈油,all,2011-05-02,532
棕榈油,pc,2011-05-02,358
棕榈油,wise,2011-05-02,174
棕榈油,all,2011-05-03,841
棕榈油,pc,2011-05-03,616
棕榈油,wise,2011-05-03,225
棕榈油,all,2011-05-04,784
棕榈油,pc,2011-05-04,608
棕榈油,wise,2011-05-04,176
棕榈油,all,2011-05-05,748
棕榈油,pc,2011-05-05,555
棕榈油,wise,2011-05-05,193
棕榈油,all,2011-05-06,777
棕榈油,pc,2011-05-06,588
棕榈油,wise,2011-05-06,189
棕榈油,all,2011-05-07,590
棕榈油,pc,2011-05-07,400
棕榈油,wise,2011-05-07,190
棕榈油,all,2011-05-08,549
棕榈油,pc,2011-05-08,375
棕榈油,wise,2011-05-08,174
棕榈油,all,2011-05-09,822
棕榈油,pc,2011-05-09,645
棕榈油,wise,2011-05-09,177
棕榈油,all,2011-05-10,874
棕榈油,pc,2011-05-10,662
棕榈油,wise,2011-05-10,212
棕榈油,all,2011-05-11,882
棕榈油,pc,2011-05-11,670
棕榈油,wise,2011-05-11,212
棕榈油,all,2011-05-12,836
棕榈油,pc,2011-05-12,647
棕榈油,wise,2011-05-12,189
棕榈油,all,2011-05-13,749
棕榈油,pc,2011-05-13,568
棕榈油,wise,2011-05-13,181
棕榈油,all,2011-05-14,518
棕榈油,pc,2011-05-14,357
棕榈油,wise,2011-05-14,161
棕榈油,all,2011-05-15,545
棕榈油,pc,2011-05-15,375
棕榈油,wise,2011-05-15,170
棕榈油,all,2011-05-16,799
棕榈油,pc,2011-05-16,600
棕榈油,wise,2011-05-16,199
棕榈油,all,2011-05-17,844
棕榈油,pc,2011-05-17,588
棕榈油,wise,2011-05-17,256
棕榈油,all,2011-05-18,772
棕榈油,pc,2011-05-18,583
棕榈油,wise,2011-05-18,189
棕榈油,all,2011-05-19,654
棕榈油,pc,2011-05-19,510
棕榈油,wise,2011-05-19,144
棕榈油,all,2011-05-20,679
棕榈油,pc,2011-05-20,509
棕榈油,wise,2011-05-20,170
棕榈油,all,2011-05-21,535
棕榈油,pc,2011-05-21,388
棕榈油,wise,2011-05-21,147
棕榈油,all,2011-05-22,672
棕榈油,pc,2011-05-22,524
棕榈油,wise,2011-05-22,148
棕榈油,all,2011-05-23,802
棕榈油,pc,2011-05-23,620
棕榈油,wise,2011-05-23,182
棕榈油,all,2011-05-24,753
棕榈油,pc,2011-05-24,586
棕榈油,wise,2011-05-24,167
棕榈油,all,2011-05-25,703
棕榈油,pc,2011-05-25,533
棕榈油,wise,2011-05-25,170
棕榈油,all,2011-05-26,690
棕榈油,pc,2011-05-26,549
棕榈油,wise,2011-05-26,141
棕榈油,all,2011-05-27,733
棕榈油,pc,2011-05-27,566
棕榈油,wise,2011-05-27,167
棕榈油,all,2011-05-28,587
棕榈油,pc,2011-05-28,448
棕榈油,wise,2011-05-28,139
棕榈油,all,2011-05-29,560
棕榈油,pc,2011-05-29,402
棕榈油,wise,2011-05-29,158
棕榈油,all,2011-05-30,985
棕榈油,pc,2011-05-30,785
棕榈油,wise,2011-05-30,200
棕榈油,all,2011-05-31,1030
棕榈油,pc,2011-05-31,863
棕榈油,wise,2011-05-31,167
棕榈油,all,2011-06-01,1041
棕榈油,pc,2011-06-01,799
棕榈油,wise,2011-06-01,242
棕榈油,all,2011-06-02,1076
棕榈油,pc,2011-06-02,852
棕榈油,wise,2011-06-02,224
棕榈油,all,2011-06-03,1095
棕榈油,pc,2011-06-03,871
棕榈油,wise,2011-06-03,224
棕榈油,all,2011-06-04,799
棕榈油,pc,2011-06-04,595
棕榈油,wise,2011-06-04,204
棕榈油,all,2011-06-05,677
棕榈油,pc,2011-06-05,484
棕榈油,wise,2011-06-05,193
棕榈油,all,2011-06-06,842
棕榈油,pc,2011-06-06,650
棕榈油,wise,2011-06-06,192
棕榈油,all,2011-06-07,945
棕榈油,pc,2011-06-07,746
棕榈油,wise,2011-06-07,199
棕榈油,all,2011-06-08,876
棕榈油,pc,2011-06-08,684
棕榈油,wise,2011-06-08,192
棕榈油,all,2011-06-09,746
棕榈油,pc,2011-06-09,557
棕榈油,wise,2011-06-09,189
棕榈油,all,2011-06-10,838
棕榈油,pc,2011-06-10,651
棕榈油,wise,2011-06-10,187
棕榈油,all,2011-06-11,577
棕榈油,pc,2011-06-11,428
棕榈油,wise,2011-06-11,149
棕榈油,all,2011-06-12,668
棕榈油,pc,2011-06-12,507
棕榈油,wise,2011-06-12,161
棕榈油,all,2011-06-13,892
棕榈油,pc,2011-06-13,695
棕榈油,wise,2011-06-13,197
棕榈油,all,2011-06-14,801
棕榈油,pc,2011-06-14,625
棕榈油,wise,2011-06-14,176
棕榈油,all,2011-06-15,838
棕榈油,pc,2011-06-15,636
棕榈油,wise,2011-06-15,202
棕榈油,all,2011-06-16,951
棕榈油,pc,2011-06-16,710
棕榈油,wise,2011-06-16,241
棕榈油,all,2011-06-17,820
棕榈油,pc,2011-06-17,619
棕榈油,wise,2011-06-17,201
棕榈油,all,2011-06-18,581
棕榈油,pc,2011-06-18,414
棕榈油,wise,2011-06-18,167
棕榈油,all,2011-06-19,542
棕榈油,pc,2011-06-19,381
棕榈油,wise,2011-06-19,161
棕榈油,all,2011-06-20,764
棕榈油,pc,2011-06-20,575
棕榈油,wise,2011-06-20,189
棕榈油,all,2011-06-21,679
棕榈油,pc,2011-06-21,496
棕榈油,wise,2011-06-21,183
棕榈油,all,2011-06-22,727
棕榈油,pc,2011-06-22,540
棕榈油,wise,2011-06-22,187
棕榈油,all,2011-06-23,655
棕榈油,pc,2011-06-23,457
棕榈油,wise,2011-06-23,198
棕榈油,all,2011-06-24,678
棕榈油,pc,2011-06-24,499
棕榈油,wise,2011-06-24,179
棕榈油,all,2011-06-25,453
棕榈油,pc,2011-06-25,319
棕榈油,wise,2011-06-25,134
棕榈油,all,2011-06-26,591
棕榈油,pc,2011-06-26,402
棕榈油,wise,2011-06-26,189
棕榈油,all,2011-06-27,786
棕榈油,pc,2011-06-27,616
棕榈油,wise,2011-06-27,170
棕榈油,all,2011-06-28,720
棕榈油,pc,2011-06-28,585
棕榈油,wise,2011-06-28,135
棕榈油,all,2011-06-29,809
棕榈油,pc,2011-06-29,616
棕榈油,wise,2011-06-29,193
棕榈油,all,2011-06-30,688
棕榈油,pc,2011-06-30,526
棕榈油,wise,2011-06-30,162
棕榈油,all,2011-07-01,640
棕榈油,pc,2011-07-01,485
棕榈油,wise,2011-07-01,155
棕榈油,all,2011-07-02,489
棕榈油,pc,2011-07-02,330
棕榈油,wise,2011-07-02,159
棕榈油,all,2011-07-03,436
棕榈油,pc,2011-07-03,301
棕榈油,wise,2011-07-03,135
棕榈油,all,2011-07-04,671
棕榈油,pc,2011-07-04,506
棕榈油,wise,2011-07-04,165
棕榈油,all,2011-07-05,683
棕榈油,pc,2011-07-05,509
棕榈油,wise,2011-07-05,174
棕榈油,all,2011-07-06,639
棕榈油,pc,2011-07-06,488
棕榈油,wise,2011-07-06,151
棕榈油,all,2011-07-07,663
棕榈油,pc,2011-07-07,493
棕榈油,wise,2011-07-07,170
棕榈油,all,2011-07-08,591
棕榈油,pc,2011-07-08,433
棕榈油,wise,2011-07-08,158
棕榈油,all,2011-07-09,457
棕榈油,pc,2011-07-09,302
棕榈油,wise,2011-07-09,155
棕榈油,all,2011-07-10,461
棕榈油,pc,2011-07-10,316
棕榈油,wise,2011-07-10,145
棕榈油,all,2011-07-11,725
棕榈油,pc,2011-07-11,555
棕榈油,wise,2011-07-11,170
棕榈油,all,2011-07-12,839
棕榈油,pc,2011-07-12,650
棕榈油,wise,2011-07-12,189
棕榈油,all,2011-07-13,805
棕榈油,pc,2011-07-13,619
棕榈油,wise,2011-07-13,186
棕榈油,all,2011-07-14,707
棕榈油,pc,2011-07-14,504
棕榈油,wise,2011-07-14,203
棕榈油,all,2011-07-15,795
棕榈油,pc,2011-07-15,583
棕榈油,wise,2011-07-15,212
棕榈油,all,2011-07-16,533
棕榈油,pc,2011-07-16,369
棕榈油,wise,2011-07-16,164
棕榈油,all,2011-07-17,495
棕榈油,pc,2011-07-17,344
棕榈油,wise,2011-07-17,151
棕榈油,all,2011-07-18,735
棕榈油,pc,2011-07-18,575
棕榈油,wise,2011-07-18,160
棕榈油,all,2011-07-19,746
棕榈油,pc,2011-07-19,572
棕榈油,wise,2011-07-19,174
棕榈油,all,2011-07-20,756
棕榈油,pc,2011-07-20,582
棕榈油,wise,2011-07-20,174
棕榈油,all,2011-07-21,812
棕榈油,pc,2011-07-21,611
棕榈油,wise,2011-07-21,201
棕榈油,all,2011-07-22,721
棕榈油,pc,2011-07-22,554
棕榈油,wise,2011-07-22,167
棕榈油,all,2011-07-23,557
棕榈油,pc,2011-07-23,412
棕榈油,wise,2011-07-23,145
棕榈油,all,2011-07-24,487
棕榈油,pc,2011-07-24,332
棕榈油,wise,2011-07-24,155
棕榈油,all,2011-07-25,732
棕榈油,pc,2011-07-25,555
棕榈油,wise,2011-07-25,177
棕榈油,all,2011-07-26,705
棕榈油,pc,2011-07-26,541
棕榈油,wise,2011-07-26,164
棕榈油,all,2011-07-27,751
棕榈油,pc,2011-07-27,594
棕榈油,wise,2011-07-27,157
棕榈油,all,2011-07-28,680
棕榈油,pc,2011-07-28,529
棕榈油,wise,2011-07-28,151
棕榈油,all,2011-07-29,704
棕榈油,pc,2011-07-29,543
棕榈油,wise,2011-07-29,161
棕榈油,all,2011-07-30,533
棕榈油,pc,2011-07-30,378
棕榈油,wise,2011-07-30,155
棕榈油,all,2011-07-31,751
棕榈油,pc,2011-07-31,633
棕榈油,wise,2011-07-31,118
棕榈油,all,2011-08-01,884
棕榈油,pc,2011-08-01,701
棕榈油,wise,2011-08-01,183
棕榈油,all,2011-08-02,880
棕榈油,pc,2011-08-02,682
棕榈油,wise,2011-08-02,198
棕榈油,all,2011-08-03,800
棕榈油,pc,2011-08-03,627
棕榈油,wise,2011-08-03,173
棕榈油,all,2011-08-04,781
棕榈油,pc,2011-08-04,589
棕榈油,wise,2011-08-04,192
棕榈油,all,2011-08-05,773
棕榈油,pc,2011-08-05,602
棕榈油,wise,2011-08-05,171
棕榈油,all,2011-08-06,568
棕榈油,pc,2011-08-06,394
棕榈油,wise,2011-08-06,174
棕榈油,all,2011-08-07,468
棕榈油,pc,2011-08-07,291
棕榈油,wise,2011-08-07,177
棕榈油,all,2011-08-08,846
棕榈油,pc,2011-08-08,654
棕榈油,wise,2011-08-08,192
棕榈油,all,2011-08-09,901
棕榈油,pc,2011-08-09,679
棕榈油,wise,2011-08-09,222
棕榈油,all,2011-08-10,797
棕榈油,pc,2011-08-10,613
棕榈油,wise,2011-08-10,184
棕榈油,all,2011-08-11,696
棕榈油,pc,2011-08-11,490
棕榈油,wise,2011-08-11,206
棕榈油,all,2011-08-12,691
棕榈油,pc,2011-08-12,495
棕榈油,wise,2011-08-12,196
棕榈油,all,2011-08-13,542
棕榈油,pc,2011-08-13,366
棕榈油,wise,2011-08-13,176
棕榈油,all,2011-08-14,538
棕榈油,pc,2011-08-14,377
棕榈油,wise,2011-08-14,161
棕榈油,all,2011-08-15,916
棕榈油,pc,2011-08-15,723
棕榈油,wise,2011-08-15,193
棕榈油,all,2011-08-16,757
棕榈油,pc,2011-08-16,568
棕榈油,wise,2011-08-16,189
棕榈油,all,2011-08-17,746
棕榈油,pc,2011-08-17,569
棕榈油,wise,2011-08-17,177
棕榈油,all,2011-08-18,721
棕榈油,pc,2011-08-18,557
棕榈油,wise,2011-08-18,164
棕榈油,all,2011-08-19,727
棕榈油,pc,2011-08-19,549
棕榈油,wise,2011-08-19,178
棕榈油,all,2011-08-20,562
棕榈油,pc,2011-08-20,400
棕榈油,wise,2011-08-20,162
棕榈油,all,2011-08-21,508
棕榈油,pc,2011-08-21,357
棕榈油,wise,2011-08-21,151
棕榈油,all,2011-08-22,736
棕榈油,pc,2011-08-22,541
棕榈油,wise,2011-08-22,195
棕榈油,all,2011-08-23,686
棕榈油,pc,2011-08-23,502
棕榈油,wise,2011-08-23,184
棕榈油,all,2011-08-24,666
棕榈油,pc,2011-08-24,515
棕榈油,wise,2011-08-24,151
棕榈油,all,2011-08-25,714
棕榈油,pc,2011-08-25,540
棕榈油,wise,2011-08-25,174
棕榈油,all,2011-08-26,700
棕榈油,pc,2011-08-26,546
棕榈油,wise,2011-08-26,154
棕榈油,all,2011-08-27,667
棕榈油,pc,2011-08-27,459
棕榈油,wise,2011-08-27,208
棕榈油,all,2011-08-28,575
棕榈油,pc,2011-08-28,408
棕榈油,wise,2011-08-28,167
棕榈油,all,2011-08-29,771
棕榈油,pc,2011-08-29,585
棕榈油,wise,2011-08-29,186
棕榈油,all,2011-08-30,722
棕榈油,pc,2011-08-30,563
棕榈油,wise,2011-08-30,159
棕榈油,all,2011-08-31,742
棕榈油,pc,2011-08-31,549
棕榈油,wise,2011-08-31,193
棕榈油,all,2011-09-01,705
棕榈油,pc,2011-09-01,541
棕榈油,wise,2011-09-01,164
棕榈油,all,2011-09-02,719
棕榈油,pc,2011-09-02,568
棕榈油,wise,2011-09-02,151
棕榈油,all,2011-09-03,503
棕榈油,pc,2011-09-03,355
棕榈油,wise,2011-09-03,148
棕榈油,all,2011-09-04,538
棕榈油,pc,2011-09-04,364
棕榈油,wise,2011-09-04,174
棕榈油,all,2011-09-05,756
棕榈油,pc,2011-09-05,582
棕榈油,wise,2011-09-05,174
棕榈油,all,2011-09-06,744
棕榈油,pc,2011-09-06,580
棕榈油,wise,2011-09-06,164
棕榈油,all,2011-09-07,740
棕榈油,pc,2011-09-07,564
棕榈油,wise,2011-09-07,176
棕榈油,all,2011-09-08,773
棕榈油,pc,2011-09-08,583
棕榈油,wise,2011-09-08,190
棕榈油,all,2011-09-09,668
棕榈油,pc,2011-09-09,475
棕榈油,wise,2011-09-09,193
棕榈油,all,2011-09-10,525
棕榈油,pc,2011-09-10,366
棕榈油,wise,2011-09-10,159
棕榈油,all,2011-09-11,467
棕榈油,pc,2011-09-11,319
棕榈油,wise,2011-09-11,148
