keyword,type,date,index
棕榈油价格,all,2011-01-01,0
棕榈油价格,pc,2011-01-01,0
棕榈油价格,wise,2011-01-01,0
棕榈油价格,all,2011-01-01,152
棕榈油价格,pc,2011-01-01,0
棕榈油价格,wise,2011-01-01,0
棕榈油价格,all,2011-01-01,110
棕榈油价格,pc,2011-01-01,142
棕榈油价格,wise,2011-01-01,0
棕榈油价格,all,2011-01-01,192
棕榈油价格,pc,2011-01-01,110
棕榈油价格,wise,2011-01-01,61
棕榈油价格,all,2011-01-02,195
棕榈油价格,pc,2011-01-02,118
棕榈油价格,wise,2011-01-02,66
棕榈油价格,all,2011-01-03,218
棕榈油价格,pc,2011-01-03,101
棕榈油价格,wise,2011-01-03,67
棕榈油价格,all,2011-01-04,260
棕榈油价格,pc,2011-01-04,131
棕榈油价格,wise,2011-01-04,73
棕榈油价格,all,2011-01-05,245
棕榈油价格,pc,2011-01-05,104
棕榈油价格,wise,2011-01-05,82
棕榈油价格,all,2011-01-06,232
棕榈油价格,pc,2011-01-06,118
棕榈油价格,wise,2011-01-06,67
棕榈油价格,all,2011-01-07,252
棕榈油价格,pc,2011-01-07,123
棕榈油价格,wise,2011-01-07,73
棕榈油价格,all,2011-01-08,209
棕榈油价格,pc,2011-01-08,114
棕榈油价格,wise,2011-01-08,65
棕榈油价格,all,2011-01-09,203
棕榈油价格,pc,2011-01-09,89
棕榈油价格,wise,2011-01-09,70
棕榈油价格,all,2011-01-10,273
棕榈油价格,pc,2011-01-10,91
棕榈油价格,wise,2011-01-10,86
棕榈油价格,all,2011-01-11,229
棕榈油价格,pc,2011-01-11,125
棕榈油价格,wise,2011-01-11,79
棕榈油价格,all,2011-01-12,238
棕榈油价格,pc,2011-01-12,127
棕榈油价格,wise,2011-01-12,66
棕榈油价格,all,2011-01-13,239
棕榈油价格,pc,2011-01-13,110
棕榈油价格,wise,2011-01-13,70
棕榈油价格,all,2011-01-14,256
棕榈油价格,pc,2011-01-14,114
棕榈油价格,wise,2011-01-14,80
棕榈油价格,all,2011-01-15,168
棕榈油价格,pc,2011-01-15,121
棕榈油价格,wise,2011-01-15,69
棕榈油价格,all,2011-01-16,195
棕榈油价格,pc,2011-01-16,93
棕榈油价格,wise,2011-01-16,66
棕榈油价格,all,2011-01-17,245
棕榈油价格,pc,2011-01-17,89
棕榈油价格,wise,2011-01-17,79
棕榈油价格,all,2011-01-18,235
棕榈油价格,pc,2011-01-18,127
棕榈油价格,wise,2011-01-18,66
棕榈油价格,all,2011-01-19,210
棕榈油价格,pc,2011-01-19,108
棕榈油价格,wise,2011-01-19,66
棕榈油价格,all,2011-01-20,226
棕榈油价格,pc,2011-01-20,121
棕榈油价格,wise,2011-01-20,74
