keyword,type,date,index
棕榈油期货,all,2011-01-01,0
棕榈油期货,pc,2011-01-01,0
棕榈油期货,wise,2011-01-01,0
棕榈油期货,all,2011-01-01,72
棕榈油期货,pc,2011-01-01,0
棕榈油期货,wise,2011-01-01,0
棕榈油期货,all,2011-01-01,66
棕榈油期货,pc,2011-01-01,70
棕榈油期货,wise,2011-01-01,0
棕榈油期货,all,2011-01-01,70
棕榈油期货,pc,2011-01-01,0
棕榈油期货,wise,2011-01-01,0
棕榈油期货,all,2011-01-02,68
棕榈油期货,pc,2011-01-02,63
棕榈油期货,wise,2011-01-02,0
棕榈油期货,all,2011-01-03,76
棕榈油期货,pc,2011-01-03,64
棕榈油期货,wise,2011-01-03,0
棕榈油期货,all,2011-01-04,70
棕榈油期货,pc,2011-01-04,66
棕榈油期货,wise,2011-01-04,0
棕榈油期货,all,2011-01-05,82
棕榈油期货,pc,2011-01-05,72
棕榈油期货,wise,2011-01-05,0
棕榈油期货,all,2011-01-06,85
棕榈油期货,pc,2011-01-06,74
棕榈油期货,wise,2011-01-06,0
棕榈油期货,all,2011-01-07,74
棕榈油期货,pc,2011-01-07,63
棕榈油期货,wise,2011-01-07,0
棕榈油期货,all,2011-01-08,121
棕榈油期货,pc,2011-01-08,64
棕榈油期货,wise,2011-01-08,57
棕榈油期货,all,2011-01-09,64
棕榈油期货,pc,2011-01-09,0
棕榈油期货,wise,2011-01-09,0
棕榈油期货,all,2011-01-10,87
棕榈油期货,pc,2011-01-10,61
棕榈油期货,wise,2011-01-10,0
棕榈油期货,all,2011-01-11,76
棕榈油期货,pc,2011-01-11,66
棕榈油期货,wise,2011-01-11,0
棕榈油期货,all,2011-01-12,164
棕榈油期货,pc,2011-01-12,70
棕榈油期货,wise,2011-01-12,58
棕榈油期货,all,2011-01-13,150
棕榈油期货,pc,2011-01-13,70
棕榈油期货,wise,2011-01-13,63
棕榈油期货,all,2011-01-14,140
棕榈油期货,pc,2011-01-14,68
棕榈油期货,wise,2011-01-14,60
棕榈油期货,all,2011-01-15,66
棕榈油期货,pc,2011-01-15,68
棕榈油期货,wise,2011-01-15,0
棕榈油期货,all,2011-01-16,121
棕榈油期货,pc,2011-01-16,61
棕榈油期货,wise,2011-01-16,58
棕榈油期货,all,2011-01-17,82
棕榈油期货,pc,2011-01-17,63
棕榈油期货,wise,2011-01-17,0
棕榈油期货,all,2011-01-18,63
棕榈油期货,pc,2011-01-18,68
棕榈油期货,wise,2011-01-18,0
棕榈油期货,all,2011-01-19,68
棕榈油期货,pc,2011-01-19,63
棕榈油期货,wise,2011-01-19,0
棕榈油期货,all,2011-01-20,64
棕榈油期货,pc,2011-01-20,74
