keyword,type,date,index
植物油,all,2011-01-01,116
植物油,pc,2011-01-01,118
植物油,wise,2011-01-01,0
植物油,all,2011-01-01,133
植物油,pc,2011-01-01,135
植物油,wise,2011-01-01,0
植物油,all,2011-01-01,139
植物油,pc,2011-01-01,99
植物油,wise,2011-01-01,0
植物油,all,2011-01-01,275
植物油,pc,2011-01-01,131
植物油,wise,2011-01-01,100
植物油,all,2011-01-02,281
植物油,pc,2011-01-02,131
植物油,wise,2011-01-02,119
植物油,all,2011-01-03,286
植物油,pc,2011-01-03,114
植物油,wise,2011-01-03,92
植物油,all,2011-01-04,294
植物油,pc,2011-01-04,148
植物油,wise,2011-01-04,97
植物油,all,2011-01-05,304
植物油,pc,2011-01-05,139
植物油,wise,2011-01-05,96
植物油,all,2011-01-06,338
植物油,pc,2011-01-06,118
植物油,wise,2011-01-06,99
植物油,all,2011-01-07,270
植物油,pc,2011-01-07,150
植物油,wise,2011-01-07,91
植物油,all,2011-01-08,268
植物油,pc,2011-01-08,123
植物油,wise,2011-01-08,93
植物油,all,2011-01-09,274
植物油,pc,2011-01-09,108
植物油,wise,2011-01-09,99
植物油,all,2011-01-10,290
植物油,pc,2011-01-10,120
植物油,wise,2011-01-10,83
植物油,all,2011-01-11,284
植物油,pc,2011-01-11,110
植物油,wise,2011-01-11,87
植物油,all,2011-01-12,280
植物油,pc,2011-01-12,127
植物油,wise,2011-01-12,76
植物油,all,2011-01-13,312
植物油,pc,2011-01-13,148
植物油,wise,2011-01-13,93
植物油,all,2011-01-14,304
植物油,pc,2011-01-14,131
植物油,wise,2011-01-14,109
植物油,all,2011-01-15,260
植物油,pc,2011-01-15,106
植物油,wise,2011-01-15,87
植物油,all,2011-01-16,268
植物油,pc,2011-01-16,112
植物油,wise,2011-01-16,99
植物油,all,2011-01-17,293
植物油,pc,2011-01-17,135
植物油,wise,2011-01-17,92
植物油,all,2011-01-18,273
植物油,pc,2011-01-18,123
植物油,wise,2011-01-18,87
植物油,all,2011-01-19,261
植物油,pc,2011-01-19,129
植物油,wise,2011-01-19,86
植物油,all,2011-01-20,247
植物油,pc,2011-01-20,146
植物油,wise,2011-01-20,79
植物油,all,2011-01-21,272
植物油,pc,2011-01-21,152
植物油,wise,2011-01-21,97
植物油,all,2011-01-22,230
植物油,pc,2011-01-22,151
植物油,wise,2011-01-22,86
植物油,all,2011-01-23,241
植物油,pc,2011-01-23,125
植物油,wise,2011-01-23,69
植物油,all,2011-01-24,253
植物油,pc,2011-01-24,104
植物油,wise,2011-01-24,76
植物油,all,2011-01-25,236
植物油,pc,2011-01-25,150
植物油,wise,2011-01-25,82
植物油,all,2011-01-26,278
植物油,pc,2011-01-26,163
植物油,wise,2011-01-26,108
植物油,all,2011-01-27,233
植物油,pc,2011-01-27,155
植物油,wise,2011-01-27,79
植物油,all,2011-01-28,270
植物油,pc,2011-01-28,135
植物油,wise,2011-01-28,95
植物油,all,2011-01-29,208
植物油,pc,2011-01-29,123
植物油,wise,2011-01-29,83
植物油,all,2011-01-30,244
植物油,pc,2011-01-30,121
植物油,wise,2011-01-30,96
植物油,all,2011-01-31,229
植物油,pc,2011-01-31,99
植物油,wise,2011-01-31,74
植物油,all,2011-02-01,255
植物油,pc,2011-02-01,133
植物油,wise,2011-02-01,96
植物油,all,2011-02-02,175
植物油,pc,2011-02-02,161
植物油,wise,2011-02-02,71
植物油,all,2011-02-03,182
植物油,pc,2011-02-03,133
植物油,wise,2011-02-03,74
植物油,all,2011-02-04,176
植物油,pc,2011-02-04,148
植物油,wise,2011-02-04,70
植物油,all,2011-02-05,199
植物油,pc,2011-02-05,127
植物油,wise,2011-02-05,87
植物油,all,2011-02-06,227
植物油,pc,2011-02-06,144
植物油,wise,2011-02-06,100
植物油,all,2011-02-07,246
植物油,pc,2011-02-07,131
植物油,wise,2011-02-07,84
植物油,all,2011-02-08,197
植物油,pc,2011-02-08,140
植物油,wise,2011-02-08,79
植物油,all,2011-02-09,287
植物油,pc,2011-02-09,133
植物油,wise,2011-02-09,96
植物油,all,2011-02-10,253
植物油,pc,2011-02-10,137
植物油,wise,2011-02-10,83
植物油,all,2011-02-11,288
植物油,pc,2011-02-11,137
植物油,wise,2011-02-11,100
植物油,all,2011-02-12,314
植物油,pc,2011-02-12,131
植物油,wise,2011-02-12,109
植物油,all,2011-02-13,261
植物油,pc,2011-02-13,116
植物油,wise,2011-02-13,95
植物油,all,2011-02-14,287
植物油,pc,2011-02-14,120
植物油,wise,2011-02-14,78
植物油,all,2011-02-15,324
植物油,pc,2011-02-15,148
植物油,wise,2011-02-15,96
植物油,all,2011-02-16,315
植物油,pc,2011-02-16,161
植物油,wise,2011-02-16,95
植物油,all,2011-02-17,281
植物油,pc,2011-02-17,137
植物油,wise,2011-02-17,95
植物油,all,2011-02-18,284
植物油,pc,2011-02-18,169
植物油,wise,2011-02-18,84
植物油,all,2011-02-19,262
植物油,pc,2011-02-19,140
植物油,wise,2011-02-19,87
植物油,all,2011-02-20,282
植物油,pc,2011-02-20,127
植物油,wise,2011-02-20,87
植物油,all,2011-02-21,281
植物油,pc,2011-02-21,118
植物油,wise,2011-02-21,79
植物油,all,2011-02-22,293
植物油,pc,2011-02-22,144
植物油,wise,2011-02-22,91
植物油,all,2011-02-23,292
植物油,pc,2011-02-23,139
植物油,wise,2011-02-23,84
植物油,all,2011-02-24,261
植物油,pc,2011-02-24,152
植物油,wise,2011-02-24,74
植物油,all,2011-02-25,275
植物油,pc,2011-02-25,137
植物油,wise,2011-02-25,99
植物油,all,2011-02-26,295
植物油,pc,2011-02-26,144
植物油,wise,2011-02-26,95
植物油,all,2011-02-27,255
植物油,pc,2011-02-27,131
植物油,wise,2011-02-27,86
