keyword,type,date,index
起酥油,all,2011-01-01,97
起酥油,pc,2011-01-01,0
起酥油,wise,2011-01-01,0
起酥油,all,2011-01-01,101
起酥油,pc,2011-01-01,137
起酥油,wise,2011-01-01,0
起酥油,all,2011-01-01,135
起酥油,pc,2011-01-01,121
起酥油,wise,2011-01-01,0
起酥油,all,2011-01-01,210
起酥油,pc,2011-01-01,129
起酥油,wise,2011-01-01,83
起酥油,all,2011-01-02,212
起酥油,pc,2011-01-02,99
起酥油,wise,2011-01-02,92
起酥油,all,2011-01-03,238
起酥油,pc,2011-01-03,106
起酥油,wise,2011-01-03,76
起酥油,all,2011-01-04,245
起酥油,pc,2011-01-04,101
起酥油,wise,2011-01-04,73
起酥油,all,2011-01-05,243
起酥油,pc,2011-01-05,112
起酥油,wise,2011-01-05,74
起酥油,all,2011-01-06,222
起酥油,pc,2011-01-06,104
起酥油,wise,2011-01-06,78
起酥油,all,2011-01-07,235
起酥油,pc,2011-01-07,125
起酥油,wise,2011-01-07,83
起酥油,all,2011-01-08,239
起酥油,pc,2011-01-08,110
起酥油,wise,2011-01-08,100
起酥油,all,2011-01-09,235
起酥油,pc,2011-01-09,93
起酥油,wise,2011-01-09,91
起酥油,all,2011-01-10,222
起酥油,pc,2011-01-10,87
起酥油,wise,2011-01-10,80
起酥油,all,2011-01-11,227
起酥油,pc,2011-01-11,116
起酥油,wise,2011-01-11,79
起酥油,all,2011-01-12,222
起酥油,pc,2011-01-12,125
起酥油,wise,2011-01-12,70
起酥油,all,2011-01-13,255
起酥油,pc,2011-01-13,114
起酥油,wise,2011-01-13,83
起酥油,all,2011-01-14,216
起酥油,pc,2011-01-14,110
起酥油,wise,2011-01-14,79
起酥油,all,2011-01-15,237
起酥油,pc,2011-01-15,112
起酥油,wise,2011-01-15,78
起酥油,all,2011-01-16,220
起酥油,pc,2011-01-16,97
起酥油,wise,2011-01-16,87
起酥油,all,2011-01-17,222
起酥油,pc,2011-01-17,104
起酥油,wise,2011-01-17,82
起酥油,all,2011-01-18,222
起酥油,pc,2011-01-18,120
起酥油,wise,2011-01-18,83
起酥油,all,2011-01-19,233
起酥油,pc,2011-01-19,112
起酥油,wise,2011-01-19,83
起酥油,all,2011-01-20,238
起酥油,pc,2011-01-20,95
起酥油,wise,2011-01-20,80
起酥油,all,2011-01-21,230
起酥油,pc,2011-01-21,121
起酥油,wise,2011-01-21,80
起酥油,all,2011-01-22,188
起酥油,pc,2011-01-22,102
起酥油,wise,2011-01-22,74
起酥油,all,2011-01-23,180
起酥油,pc,2011-01-23,97
起酥油,wise,2011-01-23,70
起酥油,all,2011-01-24,218
起酥油,pc,2011-01-24,99
起酥油,wise,2011-01-24,66
起酥油,all,2011-01-25,211
起酥油,pc,2011-01-25,120
起酥油,wise,2011-01-25,76
起酥油,all,2011-01-26,209
起酥油,pc,2011-01-26,144
起酥油,wise,2011-01-26,70
起酥油,all,2011-01-27,216
起酥油,pc,2011-01-27,112
起酥油,wise,2011-01-27,74
起酥油,all,2011-01-28,221
起酥油,pc,2011-01-28,112
起酥油,wise,2011-01-28,73
起酥油,all,2011-01-29,192
起酥油,pc,2011-01-29,112
起酥油,wise,2011-01-29,74
起酥油,all,2011-01-30,197
起酥油,pc,2011-01-30,110
起酥油,wise,2011-01-30,66
起酥油,all,2011-01-31,194
起酥油,pc,2011-01-31,120
起酥油,wise,2011-01-31,74
起酥油,all,2011-02-01,209
起酥油,pc,2011-02-01,127
起酥油,wise,2011-02-01,84
起酥油,all,2011-02-02,190
起酥油,pc,2011-02-02,121
起酥油,wise,2011-02-02,84
起酥油,all,2011-02-03,163
起酥油,pc,2011-02-03,108
起酥油,wise,2011-02-03,66
起酥油,all,2011-02-04,175
起酥油,pc,2011-02-04,121
起酥油,wise,2011-02-04,74
起酥油,all,2011-02-05,177
起酥油,pc,2011-02-05,101
起酥油,wise,2011-02-05,80
起酥油,all,2011-02-06,185
起酥油,pc,2011-02-06,101
起酥油,wise,2011-02-06,71
起酥油,all,2011-02-07,199
起酥油,pc,2011-02-07,102
起酥油,wise,2011-02-07,74
起酥油,all,2011-02-08,226
起酥油,pc,2011-02-08,121
起酥油,wise,2011-02-08,97
起酥油,all,2011-02-09,232
起酥油,pc,2011-02-09,118
