   ,合约,日期,前收盘价,前结算价,开盘价,最高价,最低价,收盘价,结算价,涨跌1,涨跌2,成交量,成交金额,持仓量
1,p1001,20100104,6318,6662,6264,6830,6264,6830,6712,168,50,50,335.63,4680
2,p1001,20100105,6830,6712,6830,6830,6830,6830,6830,118,118,40,273.2,4640
3,p1001,20100106,6830,6830,6850,6870,6850,6870,6864,40,34,300,2059.4,4340
4,p1001,20100107,6870,6864,0,0,0,6864,6864,0,0,0,0,4340
5,p1001,20100108,6864,6864,6870,6870,6870,6870,6870,6,6,40,274.8,4300
6,p1001,20100111,6870,6870,6870,6870,6870,6870,6870,0,0,200,1374,4100
7,p1001,20100112,6870,6870,6828,6830,6828,6830,6828,-40,-42,424,2895.9,3686
8,p1001,20100113,6830,6828,0,0,0,6828,6828,0,0,0,0,3686
9,p1001,20100114,6828,6828,6750,6750,6750,6750,6750,-78,-78,36,243,3650
10,p1001,20100115,6750,6750,0,0,0,6750,6840,0,90,0,0,0
11,p1002,20100104,6810,6760,6810,6950,6676,6918,6852,158,92,16,109.63,326
12,p1002,20100105,6918,6852,6930,6930,6930,6930,6930,78,78,200,1386,126
13,p1002,20100106,6930,6930,0,0,0,6930,6930,0,0,0,0,126
14,p1002,20100107,6930,6930,6594,6850,6594,6700,6722,-230,-208,34,228.58,114
15,p1002,20100108,6700,6722,6702,6702,6680,6680,6696,-42,-26,8,53.57,114
16,p1002,20100111,6680,6696,6656,6656,6656,6656,6656,-40,-40,2,13.31,112
17,p1002,20100112,6656,6656,6630,6630,6592,6630,6624,-26,-32,40,264.97,82
18,p1002,20100113,6630,6624,6500,6500,6480,6480,6490,-144,-134,8,51.92,74
19,p1002,20100114,6480,6490,6560,6560,6542,6542,6550,52,60,4,26.2,72
20,p1002,20100115,6542,6550,6500,6500,6500,6500,6500,-50,-50,4,26,68
21,p1002,20100118,6500,6500,6500,6500,6500,6500,6500,0,0,4,26,64
22,p1002,20100119,6500,6500,6450,6648,6450,6450,6498,-50,-2,8,52,58
23,p1002,20100120,6450,6498,6450,6600,6350,6532,6520,34,22,36,234.76,44
24,p1002,20100121,6532,6520,0,0,0,6520,6520,0,0,0,0,44
25,p1002,20100122,6520,6520,6400,6400,6400,6400,6400,-120,-120,8,51.2,36
26,p1002,20100125,6400,6400,6700,6700,6302,6302,6500,-98,100,4,26,34
27,p1002,20100126,6302,6500,6400,6500,6400,6500,6408,0,-92,26,166.61,12
28,p1002,20100127,6500,6408,0,0,0,6408,6408,0,0,0,0,12
29,p1002,20100128,6408,6408,6674,6674,6234,6400,6364,-8,-44,18,114.57,6
30,p1002,20100129,6400,6364,6350,6350,6300,6350,6332,-14,-32,6,38,0
31,p1002,20100201,6350,6332,0,0,0,6332,6332,0,0,0,0,0
32,p1002,20100202,6332,6332,0,0,0,6332,6332,0,0,0,0,0
33,p1002,20100203,6332,6332,0,0,0,6332,6332,0,0,0,0,0
34,p1002,20100204,6332,6332,0,0,0,6332,6332,0,0,0,0,0
35,p1002,20100205,6332,6332,0,0,0,6332,6332,0,0,0,0,0
36,p1002,20100208,6332,6332,0,0,0,6332,6332,0,0,0,0,0
37,p1002,20100209,6332,6332,0,0,0,6332,6332,0,0,0,0,0
38,p1002,20100210,6332,6332,0,0,0,6332,6332,0,0,0,0,0
39,p1002,20100211,6332,6332,0,0,0,6332,6332,0,0,0,0,0
40,p1002,20100212,6332,6332,0,0,0,6332,6332,0,0,0,0,0
