date,LastPx
20100104,86340.0
20100105,86622.0
20100106,87100.0
20100107,85560.0
20100108,84070.0
20100111,84976.0
20100112,83908.0
20100113,81732.0
20100114,82206.0
20100115,81850.0
20100118,74072.0
20100119,81192.0
20100120,80434.0
20100121,80362.0
20100122,80048.0
20100125,80718.0
20100126,80268.0
20100127,79940.0
20100128,79424.0
20100129,79396.0
20100201,78608.0
20100202,78350.0
20100203,79198.0
20100204,78960.0
20100205,79002.0
20100208,79646.0
20100209,79662.0
20100210,79700.0
20100211,80236.0
20100212,79840.0
20100222,75024.0
20100223,82152.0
20100224,82334.0
20100225,81816.0
20100226,81932.0
20100301,82266.0
20100302,82452.0
20100303,82704.0
20100304,82870.0
20100305,82888.0
20100308,83582.0
20100309,84156.0
20100310,84376.0
20100311,83710.0
20100312,83322.0
20100315,75680.0
20100316,82588.0
20100317,82974.0
20100318,82602.0
20100319,82680.0
20100322,82974.0
20100323,83098.0
20100324,82834.0
20100325,82882.0
20100326,82420.0
20100329,82760.0
20100330,82582.0
20100331,82816.0
20100401,82066.0
20100402,82370.0
20100406,82102.0
20100407,82778.0
20100408,83242.0
20100409,83016.0
20100412,83300.0
20100413,82920.0
20100414,83024.0
20100415,83120.0
20100416,76574.0
20100419,83080.0
20100420,83014.0
20100421,83132.0
20100422,83210.0
20100423,83886.0
20100426,84100.0
20100427,84514.0
20100428,83830.0
20100429,83552.0
20100430,83206.0
20100504,83282.0
20100505,82920.0
20100506,82946.0
20100507,81684.0
20100510,81798.0
20100511,81810.0
20100512,81780.0
20100513,81040.0
20100514,80950.0
20100517,79330.0
20100518,72864.0
20100519,79888.0
20100520,80304.0
20100521,80266.0
20100524,80374.0
20100525,79834.0
20100526,79856.0
20100527,80146.0
20100528,80370.0
20100531,79852.0
20100601,79596.0
20100602,79736.0
20100603,79884.0
20100604,79880.0
20100607,78344.0
20100608,78190.0
20100609,77700.0
20100610,77482.0
20100611,77288.0
20100617,77356.0
20100618,71206.0
20100621,78248.0
20100622,78586.0
20100623,78478.0
20100624,78696.0
20100625,78750.0
20100628,78746.0
20100629,77726.0
20100630,77188.0
20100701,76896.0
20100702,76460.0
20100705,76416.0
20100706,75510.0
20100707,75510.0
20100708,75988.0
20100709,76192.0
20100712,76744.0
20100713,76742.0
20100714,76886.0
20100715,70964.0
20100716,78146.0
20100719,78536.0
20100720,78760.0
20100721,78904.0
20100722,79440.0
20100723,79948.0
20100726,80366.0
20100727,79968.0
20100728,80032.0
20100729,81144.0
20100730,81824.0
20100802,82684.0
20100803,83256.0
20100804,83732.0
20100805,83340.0
20100806,84182.0
20100809,86070.0
20100810,85854.0
20100811,85634.0
20100812,85614.0
20100813,86404.0
20100816,81636.0
20100817,88294.0
20100818,87904.0
20100819,87032.0
20100820,85986.0
20100823,85804.0
20100824,85632.0
20100825,85280.0
20100826,85112.0
20100827,85814.0
20100830,86864.0
20100831,85900.0
20100901,85834.0
20100902,85754.0
20100903,86352.0
20100906,87366.0
20100907,87524.0
20100908,88066.0
20100909,86734.0
20100910,87184.0
20100913,87262.0
20100914,87528.0
20100915,80224.0
20100916,87398.0
20100917,87338.0
20100920,90390.0
20100921,90520.0
20100927,93332.0
20100928,92960.0
20100929,92078.0
20100930,91884.0
20101008,92460.0
20101011,95106.0
20101012,96784.0
20101013,96966.0
20101014,98812.0
20101015,98714.0
20101018,97594.0
20101019,97836.0
20101020,97284.0
20101021,98994.0
20101022,91116.0
20101025,101346.0
20101026,101394.0
20101027,100942.0
20101028,101526.0
20101029,101334.0
20101101,101532.0
20101102,101822.0
20101103,101898.0
20101104,103060.0
20101105,106350.0
20101108,109162.0
20101109,110572.0
20101110,112170.0
20101111,112184.0
20101112,108220.0
20101115,98966.0
20101116,107984.0
20101117,105252.0
20101118,103816.0
20101119,104050.0
20101122,103648.0
20101123,102546.0
20101124,103028.0
20101125,104518.0
20101126,103948.0
20101129,103798.0
20101130,104662.0
20101201,106696.0
20101202,108454.0
20101203,108290.0
20101206,108964.0
20101207,110874.0
20101208,110362.0
20101209,110462.0
20101210,110082.0
20101213,111238.0
20101214,111904.0
20101215,104018.0
20101216,113086.0
20101217,113192.0
20101220,113120.0
20101221,112934.0
20101222,113188.0
20101223,114928.0
20101224,115526.0
20101227,116002.0
20101228,117114.0
20101229,116528.0
20101230,116196.0
20101231,117222.0
20110104,117996.0
20110105,117826.0
20110106,119768.0
20110107,119316.0
20110110,118948.0
20110111,118956.0
20110112,118214.0
20110113,118608.0
20110114,118574.0
20110117,118502.0
20110118,108062.0
20110119,118332.0
20110120,118490.0
20110121,118272.0
20110124,119638.0
20110125,119258.0
20110126,116170.0
20110127,116672.0
20110128,116950.0
20110131,118060.0
20110201,118266.0
20110209,119120.0
20110210,122198.0
20110211,122280.0
20110214,122730.0
20110215,121766.0
20110216,120228.0
20110217,119476.0
20110218,118856.0
20110221,118196.0
20110222,108148.0
20110223,115076.0
20110224,114392.0
20110225,113184.0
20110228,113706.0
20110301,113696.0
20110302,114286.0
20110303,114926.0
20110304,115126.0
20110307,115476.0
20110308,115092.0
20110309,113834.0
20110310,112970.0
20110311,112768.0
20110314,111062.0
20110315,100924.0
20110316,108518.0
20110317,108728.0
20110318,109590.0
20110321,110532.0
20110322,111348.0
20110323,111338.0
20110324,110550.0
20110325,110792.0
20110328,110594.0
20110329,110250.0
20110330,111024.0
20110331,110850.0
20110401,111736.0
20110406,111982.0
20110407,111978.0
20110408,112212.0
20110411,114266.0
20110412,113322.0
20110413,112362.0
20110414,111938.0
20110415,111506.0
20110418,111066.0
20110419,101422.0
20110420,111002.0
20110421,111046.0
20110422,111592.0
20110425,111732.0
20110426,111312.0
20110427,111008.0
20110428,111254.0
20110429,110282.0
20110503,110558.0
20110504,110240.0
20110505,109858.0
20110506,108494.0
20110509,108288.0
20110510,108764.0
20110511,108646.0
20110512,108618.0
20110513,108834.0
20110516,108602.0
20110517,99046.0
20110518,108350.0
20110519,109038.0
20110520,109142.0
20110523,109378.0
20110524,110038.0
20110525,110132.0
20110526,111458.0
20110527,111284.0
20110530,111844.0
20110531,111766.0
20110601,111602.0
20110602,111490.0
20110603,112098.0
20110607,112106.0
20110608,111830.0
20110609,112454.0
20110610,111636.0
20110613,111130.0
20110614,111164.0
20110615,111176.0
20110616,101986.0
20110617,110580.0
20110620,110520.0
20110621,110620.0
20110622,110362.0
20110623,109588.0
20110624,108856.0
20110627,107954.0
20110628,107524.0
20110629,107220.0
20110630,107354.0
20110701,106604.0
20110704,106906.0
20110705,107098.0
20110706,107014.0
20110707,106858.0
20110708,107774.0
20110711,108062.0
20110712,107880.0
20110713,108166.0
20110714,108014.0
20110715,98976.0
20110718,108130.0
20110719,108056.0
20110720,108358.0
20110721,109080.0
20110722,109288.0
20110725,108538.0
20110726,108430.0
20110727,108820.0
20110728,108684.0
20110729,109010.0
20110801,108930.0
20110802,109094.0
20110803,109352.0
20110804,109360.0
20110805,106884.0
20110808,106680.0
20110809,104836.0
20110810,105800.0
20110811,105722.0
20110812,105538.0
20110815,96788.0
20110816,105666.0
20110817,105636.0
20110818,105854.0
20110819,105422.0
20110822,105382.0
20110823,105676.0
20110824,106268.0
20110825,106044.0
20110826,105800.0
20110829,106194.0
20110830,106214.0
20110831,106892.0
20110901,107052.0
20110902,107000.0
20110905,107166.0
20110906,106654.0
20110907,106690.0
20110908,107060.0
20110909,107074.0
20110913,106802.0
20110914,106490.0
20110915,106380.0
20110916,97750.0
20110919,106012.0
20110920,106062.0
20110921,105818.0
20110922,105028.0
20110923,102908.0
