keyword,type,date,index
大豆价格走势,all,2011-01-01,0
大豆价格走势,pc,2011-01-01,0
大豆价格走势,wise,2011-01-01,0
大豆价格走势,all,2011-01-01,106
大豆价格走势,pc,2011-01-01,0
大豆价格走势,wise,2011-01-01,0
大豆价格走势,all,2011-01-01,0
大豆价格走势,pc,2011-01-01,76
大豆价格走势,wise,2011-01-01,0
大豆价格走势,all,2011-01-01,139
大豆价格走势,pc,2011-01-01,0
大豆价格走势,wise,2011-01-01,61
大豆价格走势,all,2011-01-02,156
大豆价格走势,pc,2011-01-02,0
大豆价格走势,wise,2011-01-02,61
大豆价格走势,all,2011-01-03,167
大豆价格走势,pc,2011-01-03,61
大豆价格走势,wise,2011-01-03,57
大豆价格走势,all,2011-01-04,173
大豆价格走势,pc,2011-01-04,0
大豆价格走势,wise,2011-01-04,57
大豆价格走势,all,2011-01-05,102
大豆价格走势,pc,2011-01-05,0
大豆价格走势,wise,2011-01-05,0
大豆价格走势,all,2011-01-06,89
大豆价格走势,pc,2011-01-06,68
大豆价格走势,wise,2011-01-06,0
大豆价格走势,all,2011-01-07,89
大豆价格走势,pc,2011-01-07,0
大豆价格走势,wise,2011-01-07,0
大豆价格走势,all,2011-01-08,93
大豆价格走势,pc,2011-01-08,68
大豆价格走势,wise,2011-01-08,0
大豆价格走势,all,2011-01-09,93
大豆价格走势,pc,2011-01-09,0
大豆价格走势,wise,2011-01-09,0
大豆价格走势,all,2011-01-10,156
大豆价格走势,pc,2011-01-10,64
大豆价格走势,wise,2011-01-10,61
大豆价格走势,all,2011-01-11,82
大豆价格走势,pc,2011-01-11,64
大豆价格走势,wise,2011-01-11,0
大豆价格走势,all,2011-01-12,157
大豆价格走势,pc,2011-01-12,64
大豆价格走势,wise,2011-01-12,58
大豆价格走势,all,2011-01-13,163
大豆价格走势,pc,2011-01-13,70
大豆价格走势,wise,2011-01-13,61
大豆价格走势,all,2011-01-14,99
大豆价格走势,pc,2011-01-14,72
大豆价格走势,wise,2011-01-14,0
大豆价格走势,all,2011-01-15,99
大豆价格走势,pc,2011-01-15,61
大豆价格走势,wise,2011-01-15,0
大豆价格走势,all,2011-01-16,102
大豆价格走势,pc,2011-01-16,61
大豆价格走势,wise,2011-01-16,0
大豆价格走势,all,2011-01-17,164
大豆价格走势,pc,2011-01-17,68
大豆价格走势,wise,2011-01-17,58
大豆价格走势,all,2011-01-18,121
大豆价格走势,pc,2011-01-18,70
大豆价格走势,wise,2011-01-18,0
大豆价格走势,all,2011-01-19,112
大豆价格走势,pc,2011-01-19,74
大豆价格走势,wise,2011-01-19,0
大豆价格走势,all,2011-01-20,195
大豆价格走势,pc,2011-01-20,85
大豆价格走势,wise,2011-01-20,58
大豆价格走势,all,2011-01-21,125
大豆价格走势,pc,2011-01-21,76
大豆价格走势,wise,2011-01-21,0
大豆价格走势,all,2011-01-22,131
大豆价格走势,pc,2011-01-22,68
大豆价格走势,wise,2011-01-22,0
大豆价格走势,all,2011-01-23,166
大豆价格走势,pc,2011-01-23,70
大豆价格走势,wise,2011-01-23,58
大豆价格走势,all,2011-01-24,118
大豆价格走势,pc,2011-01-24,68
大豆价格走势,wise,2011-01-24,0
大豆价格走势,all,2011-01-25,104
大豆价格走势,pc,2011-01-25,70
大豆价格走势,wise,2011-01-25,0
大豆价格走势,all,2011-01-26,82
大豆价格走势,pc,2011-01-26,78
大豆价格走势,wise,2011-01-26,0
大豆价格走势,all,2011-01-27,172
大豆价格走势,pc,2011-01-27,66
大豆价格走势,wise,2011-01-27,58
大豆价格走势,all,2011-01-28,99
大豆价格走势,pc,2011-01-28,70
大豆价格走势,wise,2011-01-28,0
大豆价格走势,all,2011-01-29,148
大豆价格走势,pc,2011-01-29,64
大豆价格走势,wise,2011-01-29,61
大豆价格走势,all,2011-01-30,87
大豆价格走势,pc,2011-01-30,61
大豆价格走势,wise,2011-01-30,0
大豆价格走势,all,2011-01-31,149
大豆价格走势,pc,2011-01-31,72
大豆价格走势,wise,2011-01-31,60
大豆价格走势,all,2011-02-01,144
大豆价格走势,pc,2011-02-01,70
大豆价格走势,wise,2011-02-01,57
大豆价格走势,all,2011-02-02,93
大豆价格走势,pc,2011-02-02,68
大豆价格走势,wise,2011-02-02,0
大豆价格走势,all,2011-02-03,143
大豆价格走势,pc,2011-02-03,64
大豆价格走势,wise,2011-02-03,58
大豆价格走势,all,2011-02-04,102
大豆价格走势,pc,2011-02-04,63
大豆价格走势,wise,2011-02-04,0
大豆价格走势,all,2011-02-05,149
大豆价格走势,pc,2011-02-05,66
大豆价格走势,wise,2011-02-05,60
大豆价格走势,all,2011-02-06,101
大豆价格走势,pc,2011-02-06,68
大豆价格走势,wise,2011-02-06,0
大豆价格走势,all,2011-02-07,104
大豆价格走势,pc,2011-02-07,66
大豆价格走势,wise,2011-02-07,0
大豆价格走势,all,2011-02-08,155
大豆价格走势,pc,2011-02-08,68
大豆价格走势,wise,2011-02-08,58
大豆价格走势,all,2011-02-09,197
大豆价格走势,pc,2011-02-09,70
大豆价格走势,wise,2011-02-09,57
大豆价格走势,all,2011-02-10,218
大豆价格走势,pc,2011-02-10,74
大豆价格走势,wise,2011-02-10,61
大豆价格走势,all,2011-02-11,129
大豆价格走势,pc,2011-02-11,76
大豆价格走势,wise,2011-02-11,0
大豆价格走势,all,2011-02-12,102
大豆价格走势,pc,2011-02-12,76
大豆价格走势,wise,2011-02-12,0
大豆价格走势,all,2011-02-13,187
大豆价格走势,pc,2011-02-13,78
大豆价格走势,wise,2011-02-13,67
大豆价格走势,all,2011-02-14,196
大豆价格走势,pc,2011-02-14,85
大豆价格走势,wise,2011-02-14,61
大豆价格走势,all,2011-02-15,217
大豆价格走势,pc,2011-02-15,91
大豆价格走势,wise,2011-02-15,63
大豆价格走势,all,2011-02-16,211
大豆价格走势,pc,2011-02-16,72
大豆价格走势,wise,2011-02-16,63
大豆价格走势,all,2011-02-17,166
大豆价格走势,pc,2011-02-17,87
大豆价格走势,wise,2011-02-17,60
大豆价格走势,all,2011-02-18,187
大豆价格走势,pc,2011-02-18,78
大豆价格走势,wise,2011-02-18,69
大豆价格走势,all,2011-02-19,192
大豆价格走势,pc,2011-02-19,95
大豆价格走势,wise,2011-02-19,61
大豆价格走势,all,2011-02-20,118
大豆价格走势,pc,2011-02-20,74
大豆价格走势,wise,2011-02-20,0
大豆价格走势,all,2011-02-21,194
大豆价格走势,pc,2011-02-21,99
大豆价格走势,wise,2011-02-21,71
大豆价格走势,all,2011-02-22,207
大豆价格走势,pc,2011-02-22,70
大豆价格走势,wise,2011-02-22,67
大豆价格走势,all,2011-02-23,243
大豆价格走势,pc,2011-02-23,68
大豆价格走势,wise,2011-02-23,67
大豆价格走势,all,2011-02-24,196
大豆价格走势,pc,2011-02-24,64
大豆价格走势,wise,2011-02-24,61
大豆价格走势,all,2011-02-25,172
大豆价格走势,pc,2011-02-25,72
大豆价格走势,wise,2011-02-25,0
大豆价格走势,all,2011-02-26,139
大豆价格走势,pc,2011-02-26,76
大豆价格走势,wise,2011-02-26,0
大豆价格走势,all,2011-02-27,162
大豆价格走势,pc,2011-02-27,64
大豆价格走势,wise,2011-02-27,61
大豆价格走势,all,2011-02-28,121
大豆价格走势,pc,2011-02-28,80
大豆价格走势,wise,2011-02-28,0
大豆价格走势,all,2011-03-01,181
大豆价格走势,pc,2011-03-01,72
大豆价格走势,wise,2011-03-01,61
大豆价格走势,all,2011-03-02,172
大豆价格走势,pc,2011-03-02,78
大豆价格走势,wise,2011-03-02,66
大豆价格走势,all,2011-03-03,170
大豆价格走势,pc,2011-03-03,64
大豆价格走势,wise,2011-03-03,66
大豆价格走势,all,2011-03-04,104
大豆价格走势,pc,2011-03-04,66
大豆价格走势,wise,2011-03-04,0
大豆价格走势,all,2011-03-05,172
大豆价格走势,pc,2011-03-05,76
大豆价格走势,wise,2011-03-05,66
大豆价格走势,all,2011-03-06,167
大豆价格走势,pc,2011-03-06,66
大豆价格走势,wise,2011-03-06,57
大豆价格走势,all,2011-03-07,205
大豆价格走势,pc,2011-03-07,70
大豆价格走势,wise,2011-03-07,65
大豆价格走势,all,2011-03-08,170
大豆价格走势,pc,2011-03-08,66
大豆价格走势,wise,2011-03-08,60
大豆价格走势,all,2011-03-09,155
大豆价格走势,pc,2011-03-09,64
大豆价格走势,wise,2011-03-09,58
大豆价格走势,all,2011-03-10,167
大豆价格走势,pc,2011-03-10,78
大豆价格走势,wise,2011-03-10,61
大豆价格走势,all,2011-03-11,174
大豆价格走势,pc,2011-03-11,76
大豆价格走势,wise,2011-03-11,66
大豆价格走势,all,2011-03-12,171
大豆价格走势,pc,2011-03-12,76
大豆价格走势,wise,2011-03-12,65
大豆价格走势,all,2011-03-13,143
大豆价格走势,pc,2011-03-13,72
大豆价格走势,wise,2011-03-13,58
大豆价格走势,all,2011-03-14,183
大豆价格走势,pc,2011-03-14,78
大豆价格走势,wise,2011-03-14,67
大豆价格走势,all,2011-03-15,183
大豆价格走势,pc,2011-03-15,99
大豆价格走势,wise,2011-03-15,65
大豆价格走势,all,2011-03-16,191
大豆价格走势,pc,2011-03-16,74
大豆价格走势,wise,2011-03-16,66
大豆价格走势,all,2011-03-17,186
大豆价格走势,pc,2011-03-17,87
大豆价格走势,wise,2011-03-17,57
大豆价格走势,all,2011-03-18,106
大豆价格走势,pc,2011-03-18,68
大豆价格走势,wise,2011-03-18,0
大豆价格走势,all,2011-03-19,159
大豆价格走势,pc,2011-03-19,66
大豆价格走势,wise,2011-03-19,60
大豆价格走势,all,2011-03-20,148
大豆价格走势,pc,2011-03-20,66
大豆价格走势,wise,2011-03-20,66
大豆价格走势,all,2011-03-21,95
大豆价格走势,pc,2011-03-21,74
大豆价格走势,wise,2011-03-21,0
大豆价格走势,all,2011-03-22,97
大豆价格走势,pc,2011-03-22,78
大豆价格走势,wise,2011-03-22,0
大豆价格走势,all,2011-03-23,147
大豆价格走势,pc,2011-03-23,70
大豆价格走势,wise,2011-03-23,65
大豆价格走势,all,2011-03-24,140
大豆价格走势,pc,2011-03-24,87
大豆价格走势,wise,2011-03-24,60
大豆价格走势,all,2011-03-25,152
大豆价格走势,pc,2011-03-25,76
大豆价格走势,wise,2011-03-25,57
大豆价格走势,all,2011-03-26,137
