keyword,type,date,index
玉米油,all,2011-01-01,0
玉米油,pc,2011-01-01,0
玉米油,wise,2011-01-01,0
玉米油,all,2011-01-01,150
玉米油,pc,2011-01-01,0
玉米油,wise,2011-01-01,0
玉米油,all,2011-01-01,144
玉米油,pc,2011-01-01,133
玉米油,wise,2011-01-01,0
玉米油,all,2011-01-01,278
玉米油,pc,2011-01-01,137
玉米油,wise,2011-01-01,105
玉米油,all,2011-01-02,322
玉米油,pc,2011-01-02,127
玉米油,wise,2011-01-02,125
玉米油,all,2011-01-03,323
玉米油,pc,2011-01-03,152
玉米油,wise,2011-01-03,122
玉米油,all,2011-01-04,363
玉米油,pc,2011-01-04,162
玉米油,wise,2011-01-04,121
玉米油,all,2011-01-05,357
玉米油,pc,2011-01-05,144
玉米油,wise,2011-01-05,109
玉米油,all,2011-01-06,376
玉米油,pc,2011-01-06,142
玉米油,wise,2011-01-06,122
玉米油,all,2011-01-07,363
玉米油,pc,2011-01-07,146
玉米油,wise,2011-01-07,138
玉米油,all,2011-01-08,316
玉米油,pc,2011-01-08,150
玉米油,wise,2011-01-08,109
玉米油,all,2011-01-09,344
玉米油,pc,2011-01-09,127
玉米油,wise,2011-01-09,128
玉米油,all,2011-01-10,332
玉米油,pc,2011-01-10,110
玉米油,wise,2011-01-10,113
玉米油,all,2011-01-11,368
玉米油,pc,2011-01-11,161
玉米油,wise,2011-01-11,109
玉米油,all,2011-01-12,360
玉米油,pc,2011-01-12,157
玉米油,wise,2011-01-12,113
玉米油,all,2011-01-13,440
玉米油,pc,2011-01-13,142
玉米油,wise,2011-01-13,136
玉米油,all,2011-01-14,406
玉米油,pc,2011-01-14,152
玉米油,wise,2011-01-14,135
玉米油,all,2011-01-15,339
玉米油,pc,2011-01-15,139
玉米油,wise,2011-01-15,123
玉米油,all,2011-01-16,342
玉米油,pc,2011-01-16,127
玉米油,wise,2011-01-16,130
玉米油,all,2011-01-17,392
玉米油,pc,2011-01-17,135
玉米油,wise,2011-01-17,139
玉米油,all,2011-01-18,410
玉米油,pc,2011-01-18,163
玉米油,wise,2011-01-18,122
玉米油,all,2011-01-19,382
玉米油,pc,2011-01-19,148
玉米油,wise,2011-01-19,122
玉米油,all,2011-01-20,377
玉米油,pc,2011-01-20,186
玉米油,wise,2011-01-20,113
玉米油,all,2011-01-21,327
玉米油,pc,2011-01-21,179
玉米油,wise,2011-01-21,122
玉米油,all,2011-01-22,352
