keyword,type,date,index
菜籽油,all,2011-01-01,140
菜籽油,pc,2011-01-01,104
菜籽油,wise,2011-01-01,0
菜籽油,all,2011-01-01,106
菜籽油,pc,2011-01-01,108
菜籽油,wise,2011-01-01,0
菜籽油,all,2011-01-01,157
菜籽油,pc,2011-01-01,125
菜籽油,wise,2011-01-01,0
菜籽油,all,2011-01-01,233
菜籽油,pc,2011-01-01,154
菜籽油,wise,2011-01-01,70
菜籽油,all,2011-01-02,233
菜籽油,pc,2011-01-02,140
菜籽油,wise,2011-01-02,87
菜籽油,all,2011-01-03,236
菜籽油,pc,2011-01-03,137
菜籽油,wise,2011-01-03,74
菜籽油,all,2011-01-04,297
菜籽油,pc,2011-01-04,154
菜籽油,wise,2011-01-04,84
菜籽油,all,2011-01-05,261
菜籽油,pc,2011-01-05,142
菜籽油,wise,2011-01-05,71
菜籽油,all,2011-01-06,299
菜籽油,pc,2011-01-06,154
菜籽油,wise,2011-01-06,71
菜籽油,all,2011-01-07,282
菜籽油,pc,2011-01-07,158
菜籽油,wise,2011-01-07,70
菜籽油,all,2011-01-08,279
菜籽油,pc,2011-01-08,173
菜籽油,wise,2011-01-08,89
菜籽油,all,2011-01-09,254
菜籽油,pc,2011-01-09,108
菜籽油,wise,2011-01-09,79
菜籽油,all,2011-01-10,301
菜籽油,pc,2011-01-10,137
菜籽油,wise,2011-01-10,73
菜籽油,all,2011-01-11,326
菜籽油,pc,2011-01-11,163
菜籽油,wise,2011-01-11,83
菜籽油,all,2011-01-12,300
菜籽油,pc,2011-01-12,161
菜籽油,wise,2011-01-12,84
菜籽油,all,2011-01-13,295
菜籽油,pc,2011-01-13,137
菜籽油,wise,2011-01-13,80
菜籽油,all,2011-01-14,278
菜籽油,pc,2011-01-14,163
菜籽油,wise,2011-01-14,78
菜籽油,all,2011-01-15,255
菜籽油,pc,2011-01-15,142
菜籽油,wise,2011-01-15,76
菜籽油,all,2011-01-16,250
菜籽油,pc,2011-01-16,118
菜籽油,wise,2011-01-16,82
菜籽油,all,2011-01-17,315
菜籽油,pc,2011-01-17,144
菜籽油,wise,2011-01-17,79
菜籽油,all,2011-01-18,262
菜籽油,pc,2011-01-18,148
菜籽油,wise,2011-01-18,87
菜籽油,all,2011-01-19,294
菜籽油,pc,2011-01-19,154
菜籽油,wise,2011-01-19,87
菜籽油,all,2011-01-20,271
菜籽油,pc,2011-01-20,176
菜籽油,wise,2011-01-20,74
菜籽油,all,2011-01-21,262
菜籽油,pc,2011-01-21,220
菜籽油,wise,2011-01-21,80
菜籽油,all,2011-01-22,225
菜籽油,pc,2011-01-22,195
菜籽油,wise,2011-01-22,73
菜籽油,all,2011-01-23,274
菜籽油,pc,2011-01-23,131
菜籽油,wise,2011-01-23,86
菜籽油,all,2011-01-24,321
菜籽油,pc,2011-01-24,148
菜籽油,wise,2011-01-24,99
菜籽油,all,2011-01-25,301
菜籽油,pc,2011-01-25,195
菜籽油,wise,2011-01-25,79
菜籽油,all,2011-01-26,262
菜籽油,pc,2011-01-26,162
菜籽油,wise,2011-01-26,80
菜籽油,all,2011-01-27,281
菜籽油,pc,2011-01-27,184
菜籽油,wise,2011-01-27,87
菜籽油,all,2011-01-28,265
菜籽油,pc,2011-01-28,152
菜籽油,wise,2011-01-28,95
菜籽油,all,2011-01-29,230
菜籽油,pc,2011-01-29,159
菜籽油,wise,2011-01-29,79
菜籽油,all,2011-01-30,252
菜籽油,pc,2011-01-30,120
菜籽油,wise,2011-01-30,87
菜籽油,all,2011-01-31,231
菜籽油,pc,2011-01-31,123
菜籽油,wise,2011-01-31,79
菜籽油,all,2011-02-01,250
菜籽油,pc,2011-02-01,208
菜籽油,wise,2011-02-01,91
菜籽油,all,2011-02-02,156
菜籽油,pc,2011-02-02,215
菜籽油,wise,2011-02-02,74
菜籽油,all,2011-02-03,161
菜籽油,pc,2011-02-03,201
菜籽油,wise,2011-02-03,76
菜籽油,all,2011-02-04,186
菜籽油,pc,2011-02-04,179
菜籽油,wise,2011-02-04,84
菜籽油,all,2011-02-05,196
菜籽油,pc,2011-02-05,179
菜籽油,wise,2011-02-05,84
菜籽油,all,2011-02-06,218
菜籽油,pc,2011-02-06,133
菜籽油,wise,2011-02-06,79
菜籽油,all,2011-02-07,210
菜籽油,pc,2011-02-07,150
菜籽油,wise,2011-02-07,83
菜籽油,all,2011-02-08,218
菜籽油,pc,2011-02-08,168
菜籽油,wise,2011-02-08,79
菜籽油,all,2011-02-09,248
菜籽油,pc,2011-02-09,186
菜籽油,wise,2011-02-09,79
菜籽油,all,2011-02-10,292
菜籽油,pc,2011-02-10,193
菜籽油,wise,2011-02-10,87
菜籽油,all,2011-02-11,305
菜籽油,pc,2011-02-11,186
菜籽油,wise,2011-02-11,80
菜籽油,all,2011-02-12,279
菜籽油,pc,2011-02-12,191
菜籽油,wise,2011-02-12,95
菜籽油,all,2011-02-13,259
菜籽油,pc,2011-02-13,165
菜籽油,wise,2011-02-13,87
菜籽油,all,2011-02-14,301
菜籽油,pc,2011-02-14,152
菜籽油,wise,2011-02-14,73
菜籽油,all,2011-02-15,300
菜籽油,pc,2011-02-15,207
菜籽油,wise,2011-02-15,82
菜籽油,all,2011-02-16,307
菜籽油,pc,2011-02-16,166
菜籽油,wise,2011-02-16,91
菜籽油,all,2011-02-17,257
菜籽油,pc,2011-02-17,168
菜籽油,wise,2011-02-17,66
菜籽油,all,2011-02-18,265
菜籽油,pc,2011-02-18,173
菜籽油,wise,2011-02-18,74
菜籽油,all,2011-02-19,282
菜籽油,pc,2011-02-19,163
菜籽油,wise,2011-02-19,105
菜籽油,all,2011-02-20,248
菜籽油,pc,2011-02-20,150
菜籽油,wise,2011-02-20,79
菜籽油,all,2011-02-21,288
菜籽油,pc,2011-02-21,150
菜籽油,wise,2011-02-21,91
菜籽油,all,2011-02-22,295
菜籽油,pc,2011-02-22,163
菜籽油,wise,2011-02-22,79
菜籽油,all,2011-02-23,357
菜籽油,pc,2011-02-23,165
菜籽油,wise,2011-02-23,115
菜籽油,all,2011-02-24,310
菜籽油,pc,2011-02-24,158
菜籽油,wise,2011-02-24,91
菜籽油,all,2011-02-25,285
菜籽油,pc,2011-02-25,197
菜籽油,wise,2011-02-25,74
菜籽油,all,2011-02-26,270
菜籽油,pc,2011-02-26,155
菜籽油,wise,2011-02-26,83
菜籽油,all,2011-02-27,242
菜籽油,pc,2011-02-27,125
菜籽油,wise,2011-02-27,76
菜籽油,all,2011-02-28,299
菜籽油,pc,2011-02-28,154
菜籽油,wise,2011-02-28,80
菜籽油,all,2011-03-01,275
菜籽油,pc,2011-03-01,211
菜籽油,wise,2011-03-01,73
菜籽油,all,2011-03-02,274
菜籽油,pc,2011-03-02,191
菜籽油,wise,2011-03-02,70
菜籽油,all,2011-03-03,318
菜籽油,pc,2011-03-03,144
菜籽油,wise,2011-03-03,87
菜籽油,all,2011-03-04,284
菜籽油,pc,2011-03-04,133
菜籽油,wise,2011-03-04,83
菜籽油,all,2011-03-05,275
菜籽油,pc,2011-03-05,165
菜籽油,wise,2011-03-05,91
菜籽油,all,2011-03-06,295
菜籽油,pc,2011-03-06,161
菜籽油,wise,2011-03-06,93
菜籽油,all,2011-03-07,288
菜籽油,pc,2011-03-07,133
菜籽油,wise,2011-03-07,70
菜籽油,all,2011-03-08,287
菜籽油,pc,2011-03-08,166
菜籽油,wise,2011-03-08,97
菜籽油,all,2011-03-09,329
菜籽油,pc,2011-03-09,180
菜籽油,wise,2011-03-09,87
菜籽油,all,2011-03-10,324
菜籽油,pc,2011-03-10,187
菜籽油,wise,2011-03-10,87
菜籽油,all,2011-03-11,255
菜籽油,pc,2011-03-11,213
菜籽油,wise,2011-03-11,83
菜籽油,all,2011-03-12,259
菜籽油,pc,2011-03-12,198
菜籽油,wise,2011-03-12,76
菜籽油,all,2011-03-13,266
菜籽油,pc,2011-03-13,163
菜籽油,wise,2011-03-13,83
菜籽油,all,2011-03-14,319
菜籽油,pc,2011-03-14,175
菜籽油,wise,2011-03-14,83
菜籽油,all,2011-03-15,323
菜籽油,pc,2011-03-15,175
菜籽油,wise,2011-03-15,80
菜籽油,all,2011-03-16,322
菜籽油,pc,2011-03-16,184
菜籽油,wise,2011-03-16,89
菜籽油,all,2011-03-17,323
菜籽油,pc,2011-03-17,198
菜籽油,wise,2011-03-17,87
菜籽油,all,2011-03-18,336
菜籽油,pc,2011-03-18,223
菜籽油,wise,2011-03-18,102
菜籽油,all,2011-03-19,302
菜籽油,pc,2011-03-19,187
菜籽油,wise,2011-03-19,100
菜籽油,all,2011-03-20,303
菜籽油,pc,2011-03-20,173
菜籽油,wise,2011-03-20,91
菜籽油,all,2011-03-21,352
菜籽油,pc,2011-03-21,173
菜籽油,wise,2011-03-21,82
菜籽油,all,2011-03-22,347
菜籽油,pc,2011-03-22,188
菜籽油,wise,2011-03-22,87
菜籽油,all,2011-03-23,303
菜籽油,pc,2011-03-23,209
菜籽油,wise,2011-03-23,78
菜籽油,all,2011-03-24,318
菜籽油,pc,2011-03-24,161
菜籽油,wise,2011-03-24,79
菜籽油,all,2011-03-25,300
菜籽油,pc,2011-03-25,162
菜籽油,wise,2011-03-25,105
菜籽油,all,2011-03-26,259
菜籽油,pc,2011-03-26,177
菜籽油,wise,2011-03-26,89
菜籽油,all,2011-03-27,279
菜籽油,pc,2011-03-27,162
菜籽油,wise,2011-03-27,92
菜籽油,all,2011-03-28,341
菜籽油,pc,2011-03-28,180
菜籽油,wise,2011-03-28,84
菜籽油,all,2011-03-29,320
菜籽油,pc,2011-03-29,179
菜籽油,wise,2011-03-29,83
菜籽油,all,2011-03-30,332
菜籽油,pc,2011-03-30,152
菜籽油,wise,2011-03-30,96
菜籽油,all,2011-03-31,340
菜籽油,pc,2011-03-31,148
菜籽油,wise,2011-03-31,87
菜籽油,all,2011-04-01,308
菜籽油,pc,2011-04-01,110
菜籽油,wise,2011-04-01,93
菜籽油,all,2011-04-02,307
菜籽油,pc,2011-04-02,157
菜籽油,wise,2011-04-02,79
菜籽油,all,2011-04-03,286
菜籽油,pc,2011-04-03,154
菜籽油,wise,2011-04-03,100
菜籽油,all,2011-04-04,295
菜籽油,pc,2011-04-04,172
菜籽油,wise,2011-04-04,105
菜籽油,all,2011-04-05,298
菜籽油,pc,2011-04-05,172
菜籽油,wise,2011-04-05,100
菜籽油,all,2011-04-06,330
菜籽油,pc,2011-04-06,170
菜籽油,wise,2011-04-06,102
菜籽油,all,2011-04-07,310
菜籽油,pc,2011-04-07,177
菜籽油,wise,2011-04-07,87
菜籽油,all,2011-04-08,315
菜籽油,pc,2011-04-08,157
菜籽油,wise,2011-04-08,87
菜籽油,all,2011-04-09,304
菜籽油,pc,2011-04-09,110
菜籽油,wise,2011-04-09,99
菜籽油,all,2011-04-10,301
菜籽油,pc,2011-04-10,133
菜籽油,wise,2011-04-10,86
菜籽油,all,2011-04-11,332
菜籽油,pc,2011-04-11,112
菜籽油,wise,2011-04-11,110
菜籽油,all,2011-04-12,351
菜籽油,pc,2011-04-12,139
菜籽油,wise,2011-04-12,112
菜籽油,all,2011-04-13,316
菜籽油,pc,2011-04-13,165
菜籽油,wise,2011-04-13,105
菜籽油,all,2011-04-14,314
菜籽油,pc,2011-04-14,161
菜籽油,wise,2011-04-14,92
菜籽油,all,2011-04-15,282
菜籽油,pc,2011-04-15,176
菜籽油,wise,2011-04-15,89
菜籽油,all,2011-04-16,277
菜籽油,pc,2011-04-16,180
