keyword,type,date,index
豆油价格,all,2011-01-01,439
豆油价格,pc,2011-01-01,260
豆油价格,wise,2011-01-01,0
豆油价格,all,2011-01-01,259
豆油价格,pc,2011-01-01,484
豆油价格,wise,2011-01-01,0
豆油价格,all,2011-01-01,202
豆油价格,pc,2011-01-01,262
豆油价格,wise,2011-01-01,0
豆油价格,all,2011-01-01,376
豆油价格,pc,2011-01-01,172
豆油价格,wise,2011-01-01,126
豆油价格,all,2011-01-02,426
豆油价格,pc,2011-01-02,140
豆油价格,wise,2011-01-02,121
豆油价格,all,2011-01-03,515
豆油价格,pc,2011-01-03,125
豆油价格,wise,2011-01-03,151
豆油价格,all,2011-01-04,718
豆油价格,pc,2011-01-04,188
豆油价格,wise,2011-01-04,152
豆油价格,all,2011-01-05,696
豆油价格,pc,2011-01-05,197
豆油价格,wise,2011-01-05,159
豆油价格,all,2011-01-06,682
豆油价格,pc,2011-01-06,158
豆油价格,wise,2011-01-06,144
豆油价格,all,2011-01-07,667
豆油价格,pc,2011-01-07,191
豆油价格,wise,2011-01-07,155
豆油价格,all,2011-01-08,486
豆油价格,pc,2011-01-08,205
豆油价格,wise,2011-01-08,126
豆油价格,all,2011-01-09,409
豆油价格,pc,2011-01-09,129
豆油价格,wise,2011-01-09,102
豆油价格,all,2011-01-10,731
豆油价格,pc,2011-01-10,116
豆油价格,wise,2011-01-10,198
豆油价格,all,2011-01-11,623
豆油价格,pc,2011-01-11,201
豆油价格,wise,2011-01-11,136
豆油价格,all,2011-01-12,661
豆油价格,pc,2011-01-12,191
豆油价格,wise,2011-01-12,152
豆油价格,all,2011-01-13,643
豆油价格,pc,2011-01-13,188
豆油价格,wise,2011-01-13,148
豆油价格,all,2011-01-14,578
豆油价格,pc,2011-01-14,187
豆油价格,wise,2011-01-14,144
豆油价格,all,2011-01-15,378
豆油价格,pc,2011-01-15,208
豆油价格,wise,2011-01-15,93
豆油价格,all,2011-01-16,392
豆油价格,pc,2011-01-16,139
豆油价格,wise,2011-01-16,119
豆油价格,all,2011-01-17,615
豆油价格,pc,2011-01-17,161
豆油价格,wise,2011-01-17,148
豆油价格,all,2011-01-18,523
豆油价格,pc,2011-01-18,250
豆油价格,wise,2011-01-18,126
豆油价格,all,2011-01-19,530
豆油价格,pc,2011-01-19,183
豆油价格,wise,2011-01-19,130
豆油价格,all,2011-01-20,483
豆油价格,pc,2011-01-20,213
豆油价格,wise,2011-01-20,125
豆油价格,all,2011-01-21,552
豆油价格,pc,2011-01-21,209
豆油价格,wise,2011-01-21,135
豆油价格,all,2011-01-22,331
豆油价格,pc,2011-01-22,212
豆油价格,wise,2011-01-22,83
豆油价格,all,2011-01-23,317
豆油价格,pc,2011-01-23,180
豆油价格,wise,2011-01-23,86
豆油价格,all,2011-01-24,546
豆油价格,pc,2011-01-24,176
豆油价格,wise,2011-01-24,130
豆油价格,all,2011-01-25,526
豆油价格,pc,2011-01-25,247
豆油价格,wise,2011-01-25,145
豆油价格,all,2011-01-26,534
豆油价格,pc,2011-01-26,216
豆油价格,wise,2011-01-26,157
豆油价格,all,2011-01-27,464
豆油价格,pc,2011-01-27,222
豆油价格,wise,2011-01-27,112
豆油价格,all,2011-01-28,391
豆油价格,pc,2011-01-28,207
豆油价格,wise,2011-01-28,100
豆油价格,all,2011-01-29,297
豆油价格,pc,2011-01-29,259
豆油价格,wise,2011-01-29,84
豆油价格,all,2011-01-30,292
豆油价格,pc,2011-01-30,177
豆油价格,wise,2011-01-30,80
豆油价格,all,2011-01-31,336
豆油价格,pc,2011-01-31,168
豆油价格,wise,2011-01-31,97
豆油价格,all,2011-02-01,310
豆油价格,pc,2011-02-01,278
豆油价格,wise,2011-02-01,97
豆油价格,all,2011-02-02,180
豆油价格,pc,2011-02-02,228
豆油价格,wise,2011-02-02,66
豆油价格,all,2011-02-03,220
豆油价格,pc,2011-02-03,226
豆油价格,wise,2011-02-03,66
豆油价格,all,2011-02-04,223
豆油价格,pc,2011-02-04,231
豆油价格,wise,2011-02-04,73
豆油价格,all,2011-02-05,238
豆油价格,pc,2011-02-05,240
豆油价格,wise,2011-02-05,79
豆油价格,all,2011-02-06,251
豆油价格,pc,2011-02-06,179
豆油价格,wise,2011-02-06,71
豆油价格,all,2011-02-07,265
豆油价格,pc,2011-02-07,170
豆油价格,wise,2011-02-07,83
豆油价格,all,2011-02-08,356
豆油价格,pc,2011-02-08,270
豆油价格,wise,2011-02-08,92
豆油价格,all,2011-02-09,534
豆油价格,pc,2011-02-09,273
豆油价格,wise,2011-02-09,125
豆油价格,all,2011-02-10,593
豆油价格,pc,2011-02-10,295
豆油价格,wise,2011-02-10,122
豆油价格,all,2011-02-11,530
豆油价格,pc,2011-02-11,313
豆油价格,wise,2011-02-11,139
豆油价格,all,2011-02-12,477
豆油价格,pc,2011-02-12,332
豆油价格,wise,2011-02-12,113
豆油价格,all,2011-02-13,405
豆油价格,pc,2011-02-13,231
豆油价格,wise,2011-02-13,96
豆油价格,all,2011-02-14,646
豆油价格,pc,2011-02-14,212
豆油价格,wise,2011-02-14,117
豆油价格,all,2011-02-15,733
豆油价格,pc,2011-02-15,391
豆油价格,wise,2011-02-15,136
豆油价格,all,2011-02-16,721
