keyword,type,date,index
豆油期货,all,2011-01-01,0
豆油期货,pc,2011-01-01,0
豆油期货,wise,2011-01-01,0
豆油期货,all,2011-01-01,85
豆油期货,pc,2011-01-01,0
豆油期货,wise,2011-01-01,0
豆油期货,all,2011-01-01,78
豆油期货,pc,2011-01-01,83
豆油期货,wise,2011-01-01,0
豆油期货,all,2011-01-01,141
豆油期货,pc,2011-01-01,68
豆油期货,wise,2011-01-01,63
豆油期货,all,2011-01-02,154
豆油期货,pc,2011-01-02,78
豆油期货,wise,2011-01-02,63
豆油期货,all,2011-01-03,174
豆油期货,pc,2011-01-03,74
豆油期货,wise,2011-01-03,70
豆油期货,all,2011-01-04,196
豆油期货,pc,2011-01-04,66
豆油期货,wise,2011-01-04,61
豆油期货,all,2011-01-05,202
豆油期货,pc,2011-01-05,82
豆油期货,wise,2011-01-05,73
豆油期货,all,2011-01-06,220
豆油期货,pc,2011-01-06,76
豆油期货,wise,2011-01-06,74
豆油期货,all,2011-01-07,222
豆油期货,pc,2011-01-07,82
豆油期货,wise,2011-01-07,71
豆油期货,all,2011-01-08,170
豆油期货,pc,2011-01-08,87
豆油期货,wise,2011-01-08,60
豆油期货,all,2011-01-09,147
豆油期货,pc,2011-01-09,70
豆油期货,wise,2011-01-09,60
豆油期货,all,2011-01-10,220
豆油期货,pc,2011-01-10,72
豆油期货,wise,2011-01-10,66
豆油期货,all,2011-01-11,216
豆油期货,pc,2011-01-11,82
豆油期货,wise,2011-01-11,74
豆油期货,all,2011-01-12,242
豆油期货,pc,2011-01-12,80
豆油期货,wise,2011-01-12,76
豆油期货,all,2011-01-13,234
豆油期货,pc,2011-01-13,87
豆油期货,wise,2011-01-13,76
豆油期货,all,2011-01-14,182
豆油期货,pc,2011-01-14,80
豆油期货,wise,2011-01-14,74
豆油期货,all,2011-01-15,157
豆油期货,pc,2011-01-15,85
豆油期货,wise,2011-01-15,60
豆油期货,all,2011-01-16,140
豆油期货,pc,2011-01-16,72
豆油期货,wise,2011-01-16,60
豆油期货,all,2011-01-17,200
豆油期货,pc,2011-01-17,64
豆油期货,wise,2011-01-17,73
豆油期货,all,2011-01-18,201
豆油期货,pc,2011-01-18,87
豆油期货,wise,2011-01-18,83
豆油期货,all,2011-01-19,194
豆油期货,pc,2011-01-19,70
豆油期货,wise,2011-01-19,67
豆油期货,all,2011-01-20,167
豆油期货,pc,2011-01-20,74
豆油期货,wise,2011-01-20,61
豆油期货,all,2011-01-21,172
豆油期货,pc,2011-01-21,74
豆油期货,wise,2011-01-21,66
豆油期货,all,2011-01-22,74
豆油期货,pc,2011-01-22,106
豆油期货,wise,2011-01-22,0
豆油期货,all,2011-01-23,78
豆油期货,pc,2011-01-23,83
豆油期货,wise,2011-01-23,0
豆油期货,all,2011-01-24,176
豆油期货,pc,2011-01-24,74
豆油期货,wise,2011-01-24,66
豆油期货,all,2011-01-25,182
豆油期货,pc,2011-01-25,89
豆油期货,wise,2011-01-25,70
豆油期货,all,2011-01-26,192
豆油期货,pc,2011-01-26,99
豆油期货,wise,2011-01-26,61
豆油期货,all,2011-01-27,157
豆油期货,pc,2011-01-27,87
豆油期货,wise,2011-01-27,66
豆油期货,all,2011-01-28,165
豆油期货,pc,2011-01-28,80
豆油期货,wise,2011-01-28,61
豆油期货,all,2011-01-29,74
豆油期货,pc,2011-01-29,83
豆油期货,wise,2011-01-29,0
豆油期货,all,2011-01-30,130
豆油期货,pc,2011-01-30,70
豆油期货,wise,2011-01-30,60
豆油期货,all,2011-01-31,158
豆油期货,pc,2011-01-31,80
豆油期货,wise,2011-01-31,78
豆油期货,all,2011-02-01,159
豆油期货,pc,2011-02-01,80
豆油期货,wise,2011-02-01,79
豆油期货,all,2011-02-02,80
豆油期货,pc,2011-02-02,83
豆油期货,wise,2011-02-02,0
豆油期货,all,2011-02-03,133
豆油期货,pc,2011-02-03,78
豆油期货,wise,2011-02-03,65
豆油期货,all,2011-02-04,147
豆油期货,pc,2011-02-04,78
豆油期货,wise,2011-02-04,67
豆油期货,all,2011-02-05,66
豆油期货,pc,2011-02-05,101
豆油期货,wise,2011-02-05,0
豆油期货,all,2011-02-06,147
豆油期货,pc,2011-02-06,68
豆油期货,wise,2011-02-06,60
豆油期货,all,2011-02-07,137
豆油期货,pc,2011-02-07,72
豆油期货,wise,2011-02-07,61
豆油期货,all,2011-02-08,80
豆油期货,pc,2011-02-08,97
豆油期货,wise,2011-02-08,0
豆油期货,all,2011-02-09,177
豆油期货,pc,2011-02-09,85
豆油期货,wise,2011-02-09,69
豆油期货,all,2011-02-10,163
豆油期货,pc,2011-02-10,87
豆油期货,wise,2011-02-10,70
豆油期货,all,2011-02-11,163
豆油期货,pc,2011-02-11,104
豆油期货,wise,2011-02-11,70
豆油期货,all,2011-02-12,156
豆油期货,pc,2011-02-12,112
豆油期货,wise,2011-02-12,61
豆油期货,all,2011-02-13,136
豆油期货,pc,2011-02-13,83
豆油期货,wise,2011-02-13,58
豆油期货,all,2011-02-14,196
豆油期货,pc,2011-02-14,102
豆油期货,wise,2011-02-14,73
豆油期货,all,2011-02-15,213
豆油期货,pc,2011-02-15,152
豆油期货,wise,2011-02-15,82
豆油期货,all,2011-02-16,207
豆油期货,pc,2011-02-16,158
豆油期货,wise,2011-02-16,76
豆油期货,all,2011-02-17,209
豆油期货,pc,2011-02-17,120
豆油期货,wise,2011-02-17,74
豆油期货,all,2011-02-18,230
