keyword,type,date,index
豆油期货行情,all,2011-01-01,0
豆油期货行情,pc,2011-01-01,0
豆油期货行情,wise,2011-01-01,0
豆油期货行情,all,2011-01-01,0
豆油期货行情,pc,2011-01-01,0
豆油期货行情,wise,2011-01-01,0
豆油期货行情,all,2011-01-01,0
豆油期货行情,pc,2011-01-01,61
豆油期货行情,wise,2011-01-01,0
豆油期货行情,all,2011-01-01,0
豆油期货行情,pc,2011-01-01,0
豆油期货行情,wise,2011-01-01,0
豆油期货行情,all,2011-01-02,57
豆油期货行情,pc,2011-01-02,0
豆油期货行情,wise,2011-01-02,57
豆油期货行情,all,2011-01-03,0
豆油期货行情,pc,2011-01-03,0
豆油期货行情,wise,2011-01-03,0
豆油期货行情,all,2011-01-04,63
豆油期货行情,pc,2011-01-04,0
豆油期货行情,wise,2011-01-04,0
豆油期货行情,all,2011-01-05,0
豆油期货行情,pc,2011-01-05,0
豆油期货行情,wise,2011-01-05,0
豆油期货行情,all,2011-01-06,66
豆油期货行情,pc,2011-01-06,0
豆油期货行情,wise,2011-01-06,0
豆油期货行情,all,2011-01-07,127
豆油期货行情,pc,2011-01-07,0
豆油期货行情,wise,2011-01-07,66
豆油期货行情,all,2011-01-08,61
豆油期货行情,pc,2011-01-08,0
豆油期货行情,wise,2011-01-08,0
豆油期货行情,all,2011-01-09,0
豆油期货行情,pc,2011-01-09,0
豆油期货行情,wise,2011-01-09,0
豆油期货行情,all,2011-01-10,66
豆油期货行情,pc,2011-01-10,0
豆油期货行情,wise,2011-01-10,0
豆油期货行情,all,2011-01-11,118
豆油期货行情,pc,2011-01-11,0
豆油期货行情,wise,2011-01-11,57
豆油期货行情,all,2011-01-12,0
豆油期货行情,pc,2011-01-12,0
豆油期货行情,wise,2011-01-12,0
豆油期货行情,all,2011-01-13,0
豆油期货行情,pc,2011-01-13,0
豆油期货行情,wise,2011-01-13,0
豆油期货行情,all,2011-01-14,0
豆油期货行情,pc,2011-01-14,0
豆油期货行情,wise,2011-01-14,0
豆油期货行情,all,2011-01-15,0
豆油期货行情,pc,2011-01-15,0
豆油期货行情,wise,2011-01-15,0
豆油期货行情,all,2011-01-16,0
豆油期货行情,pc,2011-01-16,0
豆油期货行情,wise,2011-01-16,0
豆油期货行情,all,2011-01-17,0
豆油期货行情,pc,2011-01-17,0
豆油期货行情,wise,2011-01-17,0
豆油期货行情,all,2011-01-18,0
豆油期货行情,pc,2011-01-18,0
豆油期货行情,wise,2011-01-18,0
豆油期货行情,all,2011-01-19,61
豆油期货行情,pc,2011-01-19,0
豆油期货行情,wise,2011-01-19,61
豆油期货行情,all,2011-01-20,0
豆油期货行情,pc,2011-01-20,0
豆油期货行情,wise,2011-01-20,0
豆油期货行情,all,2011-01-21,0
豆油期货行情,pc,2011-01-21,0
豆油期货行情,wise,2011-01-21,0
豆油期货行情,all,2011-01-22,0
豆油期货行情,pc,2011-01-22,0
豆油期货行情,wise,2011-01-22,0
豆油期货行情,all,2011-01-23,0
豆油期货行情,pc,2011-01-23,0
豆油期货行情,wise,2011-01-23,0
豆油期货行情,all,2011-01-24,57
豆油期货行情,pc,2011-01-24,0
豆油期货行情,wise,2011-01-24,57
豆油期货行情,all,2011-01-25,0
豆油期货行情,pc,2011-01-25,0
豆油期货行情,wise,2011-01-25,0
豆油期货行情,all,2011-01-26,0
豆油期货行情,pc,2011-01-26,0
豆油期货行情,wise,2011-01-26,0
豆油期货行情,all,2011-01-27,0
豆油期货行情,pc,2011-01-27,61
豆油期货行情,wise,2011-01-27,0
豆油期货行情,all,2011-01-28,61
豆油期货行情,pc,2011-01-28,0
豆油期货行情,wise,2011-01-28,0
豆油期货行情,all,2011-01-29,0
豆油期货行情,pc,2011-01-29,0
豆油期货行情,wise,2011-01-29,0
豆油期货行情,all,2011-01-30,0
豆油期货行情,pc,2011-01-30,0
豆油期货行情,wise,2011-01-30,0
豆油期货行情,all,2011-01-31,0
豆油期货行情,pc,2011-01-31,0
豆油期货行情,wise,2011-01-31,0
豆油期货行情,all,2011-02-01,120
豆油期货行情,pc,2011-02-01,0
豆油期货行情,wise,2011-02-01,57
豆油期货行情,all,2011-02-02,61
豆油期货行情,pc,2011-02-02,0
豆油期货行情,wise,2011-02-02,0
豆油期货行情,all,2011-02-03,0
豆油期货行情,pc,2011-02-03,0
豆油期货行情,wise,2011-02-03,0
豆油期货行情,all,2011-02-04,0
豆油期货行情,pc,2011-02-04,63
豆油期货行情,wise,2011-02-04,0
豆油期货行情,all,2011-02-05,0
豆油期货行情,pc,2011-02-05,0
豆油期货行情,wise,2011-02-05,0
豆油期货行情,all,2011-02-06,0
豆油期货行情,pc,2011-02-06,0
豆油期货行情,wise,2011-02-06,0
豆油期货行情,all,2011-02-07,0
豆油期货行情,pc,2011-02-07,0
豆油期货行情,wise,2011-02-07,0
豆油期货行情,all,2011-02-08,0
豆油期货行情,pc,2011-02-08,0
