keyword,type,date,index
豆粕,all,2011-01-01,931
豆粕,pc,2011-01-01,760
豆粕,wise,2011-01-01,0
豆粕,all,2011-01-01,975
豆粕,pc,2011-01-01,930
豆粕,wise,2011-01-01,0
豆粕,all,2011-01-01,848
豆粕,pc,2011-01-01,971
豆粕,wise,2011-01-01,0
豆粕,all,2011-01-01,989
豆粕,pc,2011-01-01,864
豆粕,wise,2011-01-01,179
豆粕,all,2011-01-02,949
豆粕,pc,2011-01-02,636
豆粕,wise,2011-01-02,161
豆粕,all,2011-01-03,1032
豆粕,pc,2011-01-03,523
豆粕,wise,2011-01-03,189
豆粕,all,2011-01-04,1214
豆粕,pc,2011-01-04,878
豆粕,wise,2011-01-04,288
豆粕,all,2011-01-05,1150
豆粕,pc,2011-01-05,868
豆粕,wise,2011-01-05,246
豆粕,all,2011-01-06,1211
豆粕,pc,2011-01-06,857
豆粕,wise,2011-01-06,303
豆粕,all,2011-01-07,1132
豆粕,pc,2011-01-07,855
豆粕,wise,2011-01-07,234
豆粕,all,2011-01-08,974
豆粕,pc,2011-01-08,850
豆粕,wise,2011-01-08,199
豆粕,all,2011-01-09,859
豆粕,pc,2011-01-09,749
豆粕,wise,2011-01-09,155
豆粕,all,2011-01-10,1213
豆粕,pc,2011-01-10,614
豆粕,wise,2011-01-10,294
豆粕,all,2011-01-11,1105
豆粕,pc,2011-01-11,886
豆粕,wise,2011-01-11,202
豆粕,all,2011-01-12,1138
豆粕,pc,2011-01-12,870
豆粕,wise,2011-01-12,231
豆粕,all,2011-01-13,1156
豆粕,pc,2011-01-13,842
豆粕,wise,2011-01-13,239
豆粕,all,2011-01-14,1214
豆粕,pc,2011-01-14,877
豆粕,wise,2011-01-14,288
豆粕,all,2011-01-15,952
豆粕,pc,2011-01-15,898
豆粕,wise,2011-01-15,167
豆粕,all,2011-01-16,813
豆粕,pc,2011-01-16,749
豆粕,wise,2011-01-16,162
豆粕,all,2011-01-17,1208
豆粕,pc,2011-01-17,734
豆粕,wise,2011-01-17,284
豆粕,all,2011-01-18,1174
豆粕,pc,2011-01-18,900
豆粕,wise,2011-01-18,295
豆粕,all,2011-01-19,1094
豆粕,pc,2011-01-19,873
豆粕,wise,2011-01-19,203
豆粕,all,2011-01-20,1091
豆粕,pc,2011-01-20,899
豆粕,wise,2011-01-20,221
豆粕,all,2011-01-21,1078
豆粕,pc,2011-01-21,859
豆粕,wise,2011-01-21,208
豆粕,all,2011-01-22,791
豆粕,pc,2011-01-22,879
豆粕,wise,2011-01-22,155
豆粕,all,2011-01-23,648
豆粕,pc,2011-01-23,703
豆粕,wise,2011-01-23,163
豆粕,all,2011-01-24,1069
豆粕,pc,2011-01-24,541
豆粕,wise,2011-01-24,203
豆粕,all,2011-01-25,1053
豆粕,pc,2011-01-25,911
豆粕,wise,2011-01-25,189
豆粕,all,2011-01-26,1047
豆粕,pc,2011-01-26,896
豆粕,wise,2011-01-26,199
豆粕,all,2011-01-27,1018
豆粕,pc,2011-01-27,886
豆粕,wise,2011-01-27,174
豆粕,all,2011-01-28,941
豆粕,pc,2011-01-28,902
豆粕,wise,2011-01-28,189
豆粕,all,2011-01-29,710
豆粕,pc,2011-01-29,885
豆粕,wise,2011-01-29,147
豆粕,all,2011-01-30,728
豆粕,pc,2011-01-30,710
豆粕,wise,2011-01-30,143
豆粕,all,2011-01-31,728
豆粕,pc,2011-01-31,578
豆粕,wise,2011-01-31,173
豆粕,all,2011-02-01,639
豆粕,pc,2011-02-01,908
豆粕,wise,2011-02-01,123
豆粕,all,2011-02-02,458
豆粕,pc,2011-02-02,899
豆粕,wise,2011-02-02,100
豆粕,all,2011-02-03,515
豆粕,pc,2011-02-03,876
豆粕,wise,2011-02-03,109
豆粕,all,2011-02-04,515
豆粕,pc,2011-02-04,892
豆粕,wise,2011-02-04,118
豆粕,all,2011-02-05,633
豆粕,pc,2011-02-05,909
豆粕,wise,2011-02-05,106
豆粕,all,2011-02-06,628
豆粕,pc,2011-02-06,800
豆粕,wise,2011-02-06,113
豆粕,all,2011-02-07,731
豆粕,pc,2011-02-07,644
豆粕,wise,2011-02-07,167
豆粕,all,2011-02-08,883
豆粕,pc,2011-02-08,918
豆粕,wise,2011-02-08,170
豆粕,all,2011-02-09,1108
豆粕,pc,2011-02-09,885
豆粕,wise,2011-02-09,232
豆粕,all,2011-02-10,1141
豆粕,pc,2011-02-10,902
豆粕,wise,2011-02-10,248
豆粕,all,2011-02-11,1135
豆粕,pc,2011-02-11,934
豆粕,wise,2011-02-11,234
豆粕,all,2011-02-12,1101
豆粕,pc,2011-02-12,898
豆粕,wise,2011-02-12,249
豆粕,all,2011-02-13,848
豆粕,pc,2011-02-13,841
豆粕,wise,2011-02-13,167
豆粕,all,2011-02-14,1153
豆粕,pc,2011-02-14,695
豆粕,wise,2011-02-14,239
豆粕,all,2011-02-15,1155
豆粕,pc,2011-02-15,955
豆粕,wise,2011-02-15,245
豆粕,all,2011-02-16,1153
豆粕,pc,2011-02-16,926
豆粕,wise,2011-02-16,236
豆粕,all,2011-02-17,1170
豆粕,pc,2011-02-17,902
豆粕,wise,2011-02-17,257
豆粕,all,2011-02-18,1196
豆粕,pc,2011-02-18,921
豆粕,wise,2011-02-18,269
豆粕,all,2011-02-19,994
豆粕,pc,2011-02-19,904
豆粕,wise,2011-02-19,167
豆粕,all,2011-02-20,858
豆粕,pc,2011-02-20,841
豆粕,wise,2011-02-20,149
豆粕,all,2011-02-21,1195
豆粕,pc,2011-02-21,825
豆粕,wise,2011-02-21,275
豆粕,all,2011-02-22,1147
豆粕,pc,2011-02-22,907
豆粕,wise,2011-02-22,225
豆粕,all,2011-02-23,1245
豆粕,pc,2011-02-23,898
豆粕,wise,2011-02-23,298
豆粕,all,2011-02-24,1190
豆粕,pc,2011-02-24,894
豆粕,wise,2011-02-24,246
豆粕,all,2011-02-25,1259
豆粕,pc,2011-02-25,876
豆粕,wise,2011-02-25,308
豆粕,all,2011-02-26,1067
豆粕,pc,2011-02-26,879
豆粕,wise,2011-02-26,196
豆粕,all,2011-02-27,983
豆粕,pc,2011-02-27,771
豆粕,wise,2011-02-27,178
豆粕,all,2011-02-28,1274
豆粕,pc,2011-02-28,633
豆粕,wise,2011-02-28,306
豆粕,all,2011-03-01,1204
豆粕,pc,2011-03-01,892
豆粕,wise,2011-03-01,261
豆粕,all,2011-03-02,1165
豆粕,pc,2011-03-02,871
豆粕,wise,2011-03-02,227
豆粕,all,2011-03-03,1157
豆粕,pc,2011-03-03,860
豆粕,wise,2011-03-03,242
豆粕,all,2011-03-04,1206
豆粕,pc,2011-03-04,892
豆粕,wise,2011-03-04,280
豆粕,all,2011-03-05,1042
豆粕,pc,2011-03-05,869
豆粕,wise,2011-03-05,183
豆粕,all,2011-03-06,967
豆粕,pc,2011-03-06,712
豆粕,wise,2011-03-06,170
豆粕,all,2011-03-07,1207
豆粕,pc,2011-03-07,585
豆粕,wise,2011-03-07,284
豆粕,all,2011-03-08,1140
豆粕,pc,2011-03-08,890
豆粕,wise,2011-03-08,236
豆粕,all,2011-03-09,1159
豆粕,pc,2011-03-09,882
豆粕,wise,2011-03-09,263
豆粕,all,2011-03-10,1198
豆粕,pc,2011-03-10,859
豆粕,wise,2011-03-10,282
豆粕,all,2011-03-11,1235
豆粕,pc,2011-03-11,881
豆粕,wise,2011-03-11,289
豆粕,all,2011-03-12,1066
豆粕,pc,2011-03-12,898
豆粕,wise,2011-03-12,187
豆粕,all,2011-03-13,1042
豆粕,pc,2011-03-13,713
豆粕,wise,2011-03-13,183
豆粕,all,2011-03-14,1359
豆粕,pc,2011-03-14,605
豆粕,wise,2011-03-14,376
豆粕,all,2011-03-15,1378
豆粕,pc,2011-03-15,914
豆粕,wise,2011-03-15,380
豆粕,all,2011-03-16,1298
豆粕,pc,2011-03-16,920
豆粕,wise,2011-03-16,316
豆粕,all,2011-03-17,1351
豆粕,pc,2011-03-17,904
豆粕,wise,2011-03-17,335
豆粕,all,2011-03-18,1486
豆粕,pc,2011-03-18,884
豆粕,wise,2011-03-18,430
豆粕,all,2011-03-19,1183
豆粕,pc,2011-03-19,886
豆粕,wise,2011-03-19,246
豆粕,all,2011-03-20,1122
豆粕,pc,2011-03-20,723
豆粕,wise,2011-03-20,242
豆粕,all,2011-03-21,1513
豆粕,pc,2011-03-21,592
豆粕,wise,2011-03-21,450
豆粕,all,2011-03-22,1299
豆粕,pc,2011-03-22,879
豆粕,wise,2011-03-22,313
豆粕,all,2011-03-23,1274
豆粕,pc,2011-03-23,887
豆粕,wise,2011-03-23,275
豆粕,all,2011-03-24,1383
豆粕,pc,2011-03-24,889
豆粕,wise,2011-03-24,369
豆粕,all,2011-03-25,1326
豆粕,pc,2011-03-25,891
豆粕,wise,2011-03-25,309
豆粕,all,2011-03-26,1107
豆粕,pc,2011-03-26,889
豆粕,wise,2011-03-26,218
豆粕,all,2011-03-27,1004
豆粕,pc,2011-03-27,788
豆粕,wise,2011-03-27,147
豆粕,all,2011-03-28,1283
豆粕,pc,2011-03-28,726
豆粕,wise,2011-03-28,302
豆粕,all,2011-03-29,1303
豆粕,pc,2011-03-29,915
豆粕,wise,2011-03-29,328
豆粕,all,2011-03-30,1245
豆粕,pc,2011-03-30,911
豆粕,wise,2011-03-30,284
豆粕,all,2011-03-31,1274
豆粕,pc,2011-03-31,842
豆粕,wise,2011-03-31,306
豆粕,all,2011-04-01,1782
豆粕,pc,2011-04-01,869
豆粕,wise,2011-04-01,795
豆粕,all,2011-04-02,1144
豆粕,pc,2011-04-02,820
豆粕,wise,2011-04-02,229
豆粕,all,2011-04-03,1066
豆粕,pc,2011-04-03,900
豆粕,wise,2011-04-03,189
豆粕,all,2011-04-04,1178
豆粕,pc,2011-04-04,861
豆粕,wise,2011-04-04,263
豆粕,all,2011-04-05,1105
豆粕,pc,2011-04-05,910
豆粕,wise,2011-04-05,200
豆粕,all,2011-04-06,1270
豆粕,pc,2011-04-06,889
豆粕,wise,2011-04-06,287
豆粕,all,2011-04-07,1262
豆粕,pc,2011-04-07,908
豆粕,wise,2011-04-07,330
豆粕,all,2011-04-08,1256
豆粕,pc,2011-04-08,894
豆粕,wise,2011-04-08,285
豆粕,all,2011-04-09,1134
豆粕,pc,2011-04-09,811
豆粕,wise,2011-04-09,215
豆粕,all,2011-04-10,1134
豆粕,pc,2011-04-10,830
豆粕,wise,2011-04-10,224
豆粕,all,2011-04-11,1288
豆粕,pc,2011-04-11,721
豆粕,wise,2011-04-11,321
豆粕,all,2011-04-12,1314
豆粕,pc,2011-04-12,849
豆粕,wise,2011-04-12,334
豆粕,all,2011-04-13,1276
豆粕,pc,2011-04-13,811
豆粕,wise,2011-04-13,314
豆粕,all,2011-04-14,1265
豆粕,pc,2011-04-14,858
豆粕,wise,2011-04-14,314
豆粕,all,2011-04-15,1294
豆粕,pc,2011-04-15,862
豆粕,wise,2011-04-15,313
豆粕,all,2011-04-16,1114
豆粕,pc,2011-04-16,952
豆粕,wise,2011-04-16,203
豆粕,all,2011-04-17,1124
豆粕,pc,2011-04-17,951
豆粕,wise,2011-04-17,235
豆粕,all,2011-04-18,1307
豆粕,pc,2011-04-18,894
豆粕,wise,2011-04-18,354
豆粕,all,2011-04-19,1267
豆粕,pc,2011-04-19,1121
豆粕,wise,2011-04-19,306
豆粕,all,2011-04-20,1236
豆粕,pc,2011-04-20,1185
豆粕,wise,2011-04-20,269
豆粕,all,2011-04-21,1331
豆粕,pc,2011-04-21,1153
豆粕,wise,2011-04-21,381
豆粕,all,2011-04-22,1236
豆粕,pc,2011-04-22,955
豆粕,wise,2011-04-22,281
豆粕,all,2011-04-23,1065
豆粕,pc,2011-04-23,879
豆粕,wise,2011-04-23,186
豆粕,all,2011-04-24,1033
豆粕,pc,2011-04-24,863
豆粕,wise,2011-04-24,170
豆粕,all,2011-04-25,1222
豆粕,pc,2011-04-25,952
豆粕,wise,2011-04-25,270
豆粕,all,2011-04-26,1195
豆粕,pc,2011-04-26,932
豆粕,wise,2011-04-26,263
豆粕,all,2011-04-27,1209
豆粕,pc,2011-04-27,953
豆粕,wise,2011-04-27,256
豆粕,all,2011-04-28,1175
豆粕,pc,2011-04-28,940
豆粕,wise,2011-04-28,235
豆粕,all,2011-04-29,1197
豆粕,pc,2011-04-29,948
豆粕,wise,2011-04-29,249
豆粕,all,2011-04-30,1119
豆粕,pc,2011-04-30,907
豆粕,wise,2011-04-30,212
豆粕,all,2011-05-01,1074
豆粕,pc,2011-05-01,866
豆粕,wise,2011-05-01,208
豆粕,all,2011-05-02,1054
豆粕,pc,2011-05-02,864
豆粕,wise,2011-05-02,190
豆粕,all,2011-05-03,1230
豆粕,pc,2011-05-03,932
豆粕,wise,2011-05-03,298
豆粕,all,2011-05-04,1185
豆粕,pc,2011-05-04,925
豆粕,wise,2011-05-04,260
豆粕,all,2011-05-05,1235
豆粕,pc,2011-05-05,936
豆粕,wise,2011-05-05,299
豆粕,all,2011-05-06,1232
豆粕,pc,2011-05-06,947
豆粕,wise,2011-05-06,285
豆粕,all,2011-05-07,1085
豆粕,pc,2011-05-07,881
豆粕,wise,2011-05-07,204
豆粕,all,2011-05-08,1047
豆粕,pc,2011-05-08,851
豆粕,wise,2011-05-08,196
豆粕,all,2011-05-09,1230
豆粕,pc,2011-05-09,962
豆粕,wise,2011-05-09,268
豆粕,all,2011-05-10,1250
豆粕,pc,2011-05-10,948
豆粕,wise,2011-05-10,302
豆粕,all,2011-05-11,1209
豆粕,pc,2011-05-11,932
豆粕,wise,2011-05-11,277
豆粕,all,2011-05-12,1157
豆粕,pc,2011-05-12,932
豆粕,wise,2011-05-12,225
豆粕,all,2011-05-13,1194
豆粕,pc,2011-05-13,945
豆粕,wise,2011-05-13,249
豆粕,all,2011-05-14,1118
豆粕,pc,2011-05-14,890
豆粕,wise,2011-05-14,228
豆粕,all,2011-05-15,1034
豆粕,pc,2011-05-15,848
豆粕,wise,2011-05-15,186
豆粕,all,2011-05-16,1294
豆粕,pc,2011-05-16,966
豆粕,wise,2011-05-16,328
豆粕,all,2011-05-17,1479
豆粕,pc,2011-05-17,953
豆粕,wise,2011-05-17,526
豆粕,all,2011-05-18,1190
豆粕,pc,2011-05-18,938
豆粕,wise,2011-05-18,252
豆粕,all,2011-05-19,1241
豆粕,pc,2011-05-19,964
豆粕,wise,2011-05-19,277
豆粕,all,2011-05-20,1265
豆粕,pc,2011-05-20,980
豆粕,wise,2011-05-20,285
豆粕,all,2011-05-21,1138
豆粕,pc,2011-05-21,899
豆粕,wise,2011-05-21,239
豆粕,all,2011-05-22,1065
豆粕,pc,2011-05-22,867
豆粕,wise,2011-05-22,198
豆粕,all,2011-05-23,1316
豆粕,pc,2011-05-23,978
豆粕,wise,2011-05-23,338
豆粕,all,2011-05-24,1284
豆粕,pc,2011-05-24,954
豆粕,wise,2011-05-24,330
豆粕,all,2011-05-25,1252
豆粕,pc,2011-05-25,939
豆粕,wise,2011-05-25,313
豆粕,all,2011-05-26,1222
豆粕,pc,2011-05-26,942
豆粕,wise,2011-05-26,280
豆粕,all,2011-05-27,1194
豆粕,pc,2011-05-27,945
豆粕,wise,2011-05-27,249
豆粕,all,2011-05-28,1108
豆粕,pc,2011-05-28,884
豆粕,wise,2011-05-28,224
豆粕,all,2011-05-29,1070
豆粕,pc,2011-05-29,851
豆粕,wise,2011-05-29,219
豆粕,all,2011-05-30,1269
豆粕,pc,2011-05-30,953
豆粕,wise,2011-05-30,316
豆粕,all,2011-05-31,1235
豆粕,pc,2011-05-31,948
豆粕,wise,2011-05-31,287
豆粕,all,2011-06-01,1186
豆粕,pc,2011-06-01,947
豆粕,wise,2011-06-01,239
豆粕,all,2011-06-02,1215
豆粕,pc,2011-06-02,931
豆粕,wise,2011-06-02,284
豆粕,all,2011-06-03,1248
豆粕,pc,2011-06-03,942
豆粕,wise,2011-06-03,306
豆粕,all,2011-06-04,1112
豆粕,pc,2011-06-04,881
豆粕,wise,2011-06-04,231
豆粕,all,2011-06-05,1075
豆粕,pc,2011-06-05,850
豆粕,wise,2011-06-05,225
豆粕,all,2011-06-06,1102
豆粕,pc,2011-06-06,894
豆粕,wise,2011-06-06,208
豆粕,all,2011-06-07,1305
豆粕,pc,2011-06-07,991
豆粕,wise,2011-06-07,314
豆粕,all,2011-06-08,1215
豆粕,pc,2011-06-08,937
豆粕,wise,2011-06-08,278
豆粕,all,2011-06-09,1200
豆粕,pc,2011-06-09,964
豆粕,wise,2011-06-09,236
豆粕,all,2011-06-10,1196
豆粕,pc,2011-06-10,928
豆粕,wise,2011-06-10,268
豆粕,all,2011-06-11,1086
豆粕,pc,2011-06-11,868
豆粕,wise,2011-06-11,218
豆粕,all,2011-06-12,1026
豆粕,pc,2011-06-12,847
豆粕,wise,2011-06-12,179
豆粕,all,2011-06-13,1236
豆粕,pc,2011-06-13,952
豆粕,wise,2011-06-13,284
豆粕,all,2011-06-14,1232
豆粕,pc,2011-06-14,961
豆粕,wise,2011-06-14,271
豆粕,all,2011-06-15,1248
豆粕,pc,2011-06-15,956
豆粕,wise,2011-06-15,292
豆粕,all,2011-06-16,1197
豆粕,pc,2011-06-16,950
豆粕,wise,2011-06-16,247
豆粕,all,2011-06-17,1234
豆粕,pc,2011-06-17,950
豆粕,wise,2011-06-17,284
豆粕,all,2011-06-18,1079
豆粕,pc,2011-06-18,877
豆粕,wise,2011-06-18,202
豆粕,all,2011-06-19,1013
豆粕,pc,2011-06-19,845
豆粕,wise,2011-06-19,168
豆粕,all,2011-06-20,1242
豆粕,pc,2011-06-20,957
豆粕,wise,2011-06-20,285
豆粕,all,2011-06-21,1210
豆粕,pc,2011-06-21,964
豆粕,wise,2011-06-21,246
豆粕,all,2011-06-22,1209
豆粕,pc,2011-06-22,953
豆粕,wise,2011-06-22,256
豆粕,all,2011-06-23,1184
豆粕,pc,2011-06-23,957
豆粕,wise,2011-06-23,227
豆粕,all,2011-06-24,1238
豆粕,pc,2011-06-24,961
豆粕,wise,2011-06-24,277
豆粕,all,2011-06-25,1060
豆粕,pc,2011-06-25,862
豆粕,wise,2011-06-25,198
豆粕,all,2011-06-26,1028
豆粕,pc,2011-06-26,849
豆粕,wise,2011-06-26,179
豆粕,all,2011-06-27,1219
豆粕,pc,2011-06-27,970
豆粕,wise,2011-06-27,249
豆粕,all,2011-06-28,1195
豆粕,pc,2011-06-28,938
豆粕,wise,2011-06-28,257
豆粕,all,2011-06-29,1208
豆粕,pc,2011-06-29,951
豆粕,wise,2011-06-29,257
豆粕,all,2011-06-30,1180
豆粕,pc,2011-06-30,948
豆粕,wise,2011-06-30,232
豆粕,all,2011-07-01,1188
豆粕,pc,2011-07-01,960
豆粕,wise,2011-07-01,228
豆粕,all,2011-07-02,1048
豆粕,pc,2011-07-02,874
豆粕,wise,2011-07-02,174
豆粕,all,2011-07-03,1021
豆粕,pc,2011-07-03,854
豆粕,wise,2011-07-03,167
豆粕,all,2011-07-04,1246
豆粕,pc,2011-07-04,952
豆粕,wise,2011-07-04,294
豆粕,all,2011-07-05,1197
豆粕,pc,2011-07-05,948
豆粕,wise,2011-07-05,249
豆粕,all,2011-07-06,1202
豆粕,pc,2011-07-06,949
豆粕,wise,2011-07-06,253
豆粕,all,2011-07-07,1201
豆粕,pc,2011-07-07,960
豆粕,wise,2011-07-07,241
豆粕,all,2011-07-08,1250
豆粕,pc,2011-07-08,951
豆粕,wise,2011-07-08,299
豆粕,all,2011-07-09,1080
豆粕,pc,2011-07-09,868
豆粕,wise,2011-07-09,212
豆粕,all,2011-07-10,1031
豆粕,pc,2011-07-10,860
豆粕,wise,2011-07-10,171
豆粕,all,2011-07-11,1285
豆粕,pc,2011-07-11,958
豆粕,wise,2011-07-11,327
豆粕,all,2011-07-12,1258
豆粕,pc,2011-07-12,966
豆粕,wise,2011-07-12,292
豆粕,all,2011-07-13,1284
豆粕,pc,2011-07-13,983
豆粕,wise,2011-07-13,301
豆粕,all,2011-07-14,1350
豆粕,pc,2011-07-14,1008
豆粕,wise,2011-07-14,342
豆粕,all,2011-07-15,1292
豆粕,pc,2011-07-15,987
豆粕,wise,2011-07-15,305
豆粕,all,2011-07-16,1101
豆粕,pc,2011-07-16,893
豆粕,wise,2011-07-16,208
豆粕,all,2011-07-17,1070
豆粕,pc,2011-07-17,862
