   ,ROWNUM,合约,日期,前收盘价,前结算价,开盘价,最高价,最低价,收盘价,结算价,涨跌1,涨跌2,成交量,成交额,持仓量
39015,39015,y1801,20180102,5282.00,5268.00,5268,5394,5256,5360,5330.00,92,62,6040,322008920.00,14020
39016,39016,y1801,20180103,5360.00,5330.00,5338,5400,5338,5400,5380.00,70,50,900,48436960.00,13682
39017,39017,y1801,20180104,5400.00,5380.00,5440,5440,5380,5436,5404.00,56,24,1994,107771960.00,7780
39018,39018,y1801,20180105,5436.00,5404.00,5408,5492,5408,5440,5478.00,36,74,1052,57629520.00,5020
39019,39019,y1801,20180108,5440.00,5478.00,5416,5416,5400,5400,5422.00,-78,-56,702,38070320.00,4896
39020,39020,y1801,20180109,5400.00,5422.00,5422,5422,5422,5422,5418.00,0,-4,1122,60809640.00,4296
39021,39021,y1801,20180110,5422.00,5418.00,0,0,0,5428,5428.00,10,10,84,4555280.00,4296
39022,39022,y1801,20180111,5428.00,5428.00,0,0,0,5428,5428.00,0,0,0,0.00,2296
39023,39023,y1801,20180112,5428.00,5428.00,0,0,0,5416,5416.00,-12,-12,0,0.00,2296
39024,39024,y1801,20180115,5416.00,5416.00,0,0,0,5374,5374.00,-42,-42,0,0.00,0
39025,39025,y1803,20180102,5408.00,5394.00,5464,5482,5440,5452,5464.00,58,70,18,983800.00,80
39026,39026,y1803,20180103,5452.00,5464.00,5468,5486,5450,5462,5474.00,-2,10,42,2299120.00,66
39027,39027,y1803,20180104,5462.00,5474.00,5484,5592,5484,5592,5536.00,118,62,34,1882280.00,50
39028,39028,y1803,20180105,5592.00,5536.00,5526,5550,5506,5550,5538.00,14,2,52,2880000.00,50
39029,39029,y1803,20180108,5550.00,5538.00,5524,5524,5524,5524,5524.00,-14,-14,2,110480.00,50
39030,39030,y1803,20180109,5524.00,5524.00,5536,5536,5536,5536,5536.00,12,12,2,110720.00,52
39031,39031,y1803,20180110,5536.00,5536.00,5550,5550,5550,5550,5550.00,14,14,2,111000.00,52
39032,39032,y1803,20180111,5550.00,5550.00,5528,5562,5528,5562,5544.00,12,-6,4,221800.00,52
39033,39033,y1803,20180112,5562.00,5544.00,0,0,0,5544,5544.00,0,0,0,0.00,52
39034,39034,y1803,20180115,5544.00,5544.00,5500,5500,5500,5500,5500.00,-44,-44,2,110000.00,54
39035,39035,y1803,20180116,5500.00,5500.00,5506,5506,5506,5506,5506.00,6,6,2,110120.00,54
39036,39036,y1803,20180117,5506.00,5506.00,5502,5560,5502,5560,5530.00,54,24,4,221240.00,52
